,Aged Care,Postcode,Nearest Hospital,Type,Hopsital Address,Distance (miles)
107,BlueCross Hilltop,3072,Panch Day Surgery Centre,Private,84-90 Hotham Street Darebin VIC 3072,0.07
126,BlueCross Ivanhoe,3079,Heidelberg Repatriation Hospital,Public,300 Waterdale Road Waterdale VIC 3081,0.87
126,BlueCross Ivanhoe,3079,Ivanhoe Endoscopy Centre,Private,226 Princes Road Banyule VIC 3079,0.14
343,BlueCross Karinya Grove,3191,Chesterville Day Hospital,Private,28 Chesterville Road Kingston VIC 3192,1.57
343,BlueCross Karinya Grove,3191,Sandringham & District Memorial Hospital,Public,191-193 Bluff Road Sandringham VIC 3191,0.67
210,BlueCross Livingstone Gardens,3133,"Peter James Centre, The",Public,321-345 Burwood Highway Burwood VIC 3131,0.9
210,BlueCross Livingstone Gardens,3133,Vermont Private Hospital,Private,645-647 Burwood Hwy Whitehorse VIC 3133,1.09
70,BlueCross Monterey,3046,Broadmeadows Health Service,Public,35-57 Johnstone Street Jacana VIC 3047,1.56
70,BlueCross Monterey,3046,Dorset Rehabilitation Centre,Private,146 Derby Street Moreland VIC 3044,2.06
292,BlueCross Oakleigh,3167,Melbourne Endoscopy Monash Day Procedure Centre,Private,277-279 Clayton Road Monash VIC 3168,1.92
292,BlueCross Oakleigh,3167,Monash Medical Centre (Moorabbin),Public,823-865 Centre Road Centre VIC 3165,1.22
51,BlueCross Riverlea,3034,The Essendon Private Hospital,Private,35 Rosehill Road Rosehill VIC 3040,1.55
51,BlueCross Riverlea,3034,Sunshine Hospital,Public,176-190 Furlong Road Furlong VIC 3021,2.34
103,BlueCross Ruckers Hill,3070,Royal Talbot Rehabilitation Centre,Public,1 Yarra Boulevard Kew VIC 3101,1.61
103,BlueCross Ruckers Hill,3070,Darebin Endoscopy Services,Private,42 Station Street Darebin VIC 3078,1.12
242,BlueCross Scotchmans Creek,3149,,Private,,
242,BlueCross Scotchmans Creek,3149,,Public,,
331,BlueCross Sheridan Hall Brighton,3186,Mandometer Brighton,Private,412-414 Bay Street Bayside VIC 3186,0.3
331,BlueCross Sheridan Hall Brighton,3186,Calvary Health Care Bethlehem,Public,476-482 Kooyong Road Kooyong VIC 3162,0.95
274,BlueCross Sheridan Hall Caulfield,3161,Caulfield General Medical Centre,Public,260 Kooyong Road Caulfield VIC 3162,0.65
274,BlueCross Sheridan Hall Caulfield,3161,Melbourne Day Surgery Centre,Private,961 High Road High VIC 3162,0.69
164,BlueCross Silverwood,3106,Box Hill Hospital,Public,8 Arnold Street Arnold VIC 3128,4.39
164,BlueCross Silverwood,3106,Manningham Day Procedure Centre,Private,503/200 High Street Manningham VIC 3107,2.07
218,BlueCross Tarralla,3136,Maroondah Hospital,Public,1-15 Davey Drive Davey VIC 3135,1.98
218,BlueCross Tarralla,3136,Marie Stopes International Maroondah,Private,415 Dorset Road Maroondah VIC 3136,0.97
128,BlueCross The Boulevard,3082,Bundoora Extended Care Centre,Public,1231 Plenty Road Bundoora VIC 3083,3.35
128,BlueCross The Boulevard,3082,Northpark Private Hospital,Private,10 Greenhills Road Whittlesea VIC 3083,2.58
190,BlueCross The Gables,3124,Vision Day Surgery Camberwell,Private,25-27 Mathoura Road Boroondara VIC 3123,0.65
190,BlueCross The Gables,3124,O'Connell Family Centre,Public,6 Katamatite-nathalia Road Canterbury VIC 3126,1.08
197,BlueCross The Mews,3126,Linley Clinic,Private,25 Bryson Street Boroondara VIC 3126,0.66
197,BlueCross The Mews,3126,O'Connell Family Centre,Public,6 Katamatite-nathalia Road Canterbury VIC 3126,0.79
17,BlueCross Western Gardens,3020,Sunshine Hospital,Public,176-190 Furlong Road Furlong VIC 3021,1.6
17,BlueCross Western Gardens,3020,Dr Scope,Private,493 Ballarat Road Brimbank VIC 3020,0.33
101,BlueCross Westgarth,3070,Royal Talbot Rehabilitation Centre,Public,1 Yarra Boulevard Kew VIC 3101,1.25
101,BlueCross Westgarth,3070,Darebin Endoscopy Services,Private,42 Station Street Darebin VIC 3078,0.79
629,BlueCross Willowmeade,3764,Kilmore and District Hospital,Public,1 Anderson Road Kilmore VIC 3764,0.64
629,BlueCross Willowmeade,3764,Goonawarra Day Hospital,Private,11 Dornoch Drive Hume VIC 3429,22.45
607,Bolga Court Hostel,3700,Tallangatta Health Service,Public,25 Barree Street Tallangatta VIC 3700,0.14
607,Bolga Court Hostel,3700,Murray Valley Private Hospital,Private,2/69 Nordsvan Drive Wodonga VIC 3690,17.83
357,Bonbeach Residential Care,3196,Frankston Hospital,Public,2 Hastings Road Frankston VIC 3199,5.44
357,Bonbeach Residential Care,3196,Chelsea Heights Day Surgery & Endoscopy,Private,93 Wells Road Kingston VIC 3196,2.75
538,Boort District Health Hostel,3537,Boort District Health,Public,31 Kiniry Street Boort VIC 3537,0.16
538,Boort District Health Hostel,3537,Bendigo Day Surgery,Private,1-7 Chum Street Chum VIC 3555,53.65
537,Boort District Health Nursing Home,3537,Bendigo Day Surgery,Private,1-7 Chum Street Chum VIC 3555,53.65
537,Boort District Health Nursing Home,3537,Boort District Health,Public,31 Kiniry Street Boort VIC 3537,0.16
268,Boronia Residential Aged Care,3155,The Melbourne Eastern Private Hospital,Private,153-159 Scoresby Road Knox VIC 3155,0.92
268,Boronia Residential Aged Care,3155,Wantirna Health,Public,251 Mountain Highway Wantirna VIC 3152,3.22
87,Boyne Russell House,3056,John Fawkner Private Hospital,Private,275 Moreland Road Moreland VIC 3058,0.85
87,Boyne Russell House,3056,Royal Melbourne Hospital (Royal Park Campus),Public,34-56 Poplar Road Parkville VIC 3052,1.02
286,Brimlea Aged Care,3163,Malvern Private Hospital,Private,3-9 Bryson Crescent Stonnington VIC 3145,1.65
286,Brimlea Aged Care,3163,Monash Medical Centre (Moorabbin),Public,823-865 Centre Road Centre VIC 3165,2.11
613,Buckland House Nursing Home,3722,Mansfield District Hospital,Public,51-53 Highett Street Mansfield VIC 3722,0.06
613,Buckland House Nursing Home,3722,Euroa Health Inc,Private,36 Kennedy Street Strathbogie VIC 3666,35.28
473,Bupa Ballarat,3356,"Queen Elizabeth Centre, The (Ballarat QEC)",Public,102 Ascot Street Ascot VIC 3350,2.62
473,Bupa Ballarat,3356,St John of God Ballarat Hospital,Private,101 Drummond Street Ballarat VIC 3350,3.16
390,Bupa Barrabool,3216,St John of God Geelong Hospital,Private,80 Myers Street Myers VIC 3220,1.96
390,Bupa Barrabool,3216,University Hospital Geelong,Public,272-322 Ryrie Street Geelong VIC 3220,2.31
407,Bupa Bellarine Lakes,3224,University Hospital Geelong,Public,272-322 Ryrie Street Geelong VIC 3220,2.54
407,Bupa Bellarine Lakes,3224,The Geelong Clinic,Private,94-102 Townsend Road Townsend VIC 3219,0.77
542,Bupa Bendigo,3550,St John of God Bendigo Hospital,Private,133-145 Lily Street Lily VIC 3550,2.1
542,Bupa Bendigo,3550,"Bendigo Hospital, The",Public,62 Lucan Street Bendigo VIC 3550,1.04
640,Bupa Berwick,3804,Casey Hospital,Public,62-70 Kangan Drive Berwick VIC 3806,3.97
640,Bupa Berwick,3804,Casey Day Procedure and Specialist Centre,Private,30-32 Verdun Drive Casey VIC 3805,2.09
362,Bupa Bonbeach,3196,Chelsea Heights Day Surgery & Endoscopy,Private,93 Wells Road Kingston VIC 3196,1.61
362,Bupa Bonbeach,3196,"Queen Elizabeth Centre, The",Public,37-53 Thomas Street Thomas VIC 3174,6.46
279,Bupa Caulfield,3162,,Private,,
279,Bupa Caulfield,3162,,Public,,
293,Bupa Clayton,3168,Monash Medical Centre (Clayton),Public,246 Clayton Road Clayton VIC 3168,0.59
293,Bupa Clayton,3168,Monash Surgical Private Hospital,Private,252-256 Clayton Road Monash VIC 3168,0.46
89,Bupa Coburg,3058,Coburg Endoscopy Centre,Private,15 Munro Street Moreland VIC 3058,0.47
89,Bupa Coburg,3058,Royal Melbourne Hospital (Royal Park Campus),Public,34-56 Poplar Road Parkville VIC 3052,2.8
221,Bupa Croydon,3136,Marie Stopes International Maroondah,Private,415 Dorset Road Maroondah VIC 3136,1.81
221,Bupa Croydon,3136,Maroondah Hospital,Public,1-15 Davey Drive Davey VIC 3135,2.26
176,Bupa Donvale,3111,,Private,,
176,Bupa Donvale,3111,,Public,,
682,Bupa Eastwood,3875,,Public,,
682,Bupa Eastwood,3875,,Private,,
559,Bupa Echuca,3564,Echuca Regional Health,Public,226 Service Street Echuca VIC 3564,1.3
559,Bupa Echuca,3564,Shepparton Private Hospital,Private,20 Fitzgerald Street Fitzgerald VIC 3630,40.1
360,Bupa Edithvale,3196,"Queen Elizabeth Centre, The",Public,37-53 Thomas Street Thomas VIC 3174,5.94
360,Bupa Edithvale,3196,Chelsea Heights Day Surgery & Endoscopy,Private,93 Wells Road Kingston VIC 3196,1.43
141,Bupa Greensborough,3088,Diaverum Diamond Valley Dialysis Clinic,Private,15 Grimshaw Street Banyule VIC 3088,0.39
141,Bupa Greensborough,3088,Bundoora Extended Care Centre,Public,1231 Plenty Road Bundoora VIC 3083,2.89
507,Bupa Kyneton,3444,Ballan District Health & Care,Private,33 Cowie Street Moorabool VIC 3342,27.85
507,Bupa Kyneton,3444,Kyneton District Health Service,Public,7-25 Fenaughty Drive Kyneton VIC 3444,0.8
529,Bupa Mildura,3500,Mildura Base Hospital,Public,216-240 Ontario Avenue Mildura VIC 3500,0.86
529,Bupa Mildura,3500,Mildura Health Private Hospital,Private,220-228 Thirteenth Street Mildura VIC 3500,0.75
440,Bupa Portland,3305,South West Regional Cancer Centre,Private,26 Ryot Street Warrnambool VIC 3280,46.76
440,Bupa Portland,3305,Portland District Health,Public,141-151 Bentinck Street Portland VIC 3305,0.98
622,Bupa South Morang,3752,Northpark Private Hospital,Private,10 Greenhills Road Whittlesea VIC 3083,2.9
622,Bupa South Morang,3752,Bundoora Extended Care Centre,Public,1231 Plenty Road Bundoora VIC 3083,3.68
15,Bupa Sunshine,3020,Sunshine Hospital,Public,176-190 Furlong Road Furlong VIC 3021,2.0
15,Bupa Sunshine,3020,Dr Scope,Private,493 Ballarat Road Brimbank VIC 3020,0.52
163,Bupa Templestowe,3106,Manningham Day Procedure Centre,Private,503/200 High Street Manningham VIC 3107,1.95
163,Bupa Templestowe,3106,Box Hill Hospital,Public,8 Arnold Street Arnold VIC 3128,3.73
116,Bupa Thomastown,3074,Northpark Private Hospital,Private,10 Greenhills Road Whittlesea VIC 3083,1.88
116,Bupa Thomastown,3074,Bundoora Extended Care Centre,Public,1231 Plenty Road Bundoora VIC 3083,1.87
668,Bupa Traralgon,3844,Maryvale Private Hospital,Private,286 Maryvale Road Latrobe VIC 3840,7.46
668,Bupa Traralgon,3844,Latrobe Regional Hospital,Public,10 Village Avenue Traralgon VIC 3844,4.79
324,Bupa Windsor,3181,Vision Laser St Kilda Road,Private,600-602 Whitehorse Road Whitehorse VIC 3004,0.27
324,Bupa Windsor,3181,The Alfred,Public,55 Commercial Road Melbourne VIC 3004,0.55
603,Bupa Wodonga,3690,Murray Valley Private Hospital,Private,2/69 Nordsvan Drive Wodonga VIC 3690,0.71
603,Bupa Wodonga,3690,Albury Wodonga Health (Wodonga),Public,53-81 Vermont Street Wodonga VIC 3690,0.84
506,Bupa Woodend,3442,Kyneton District Health Service,Public,7-25 Fenaughty Drive Kyneton VIC 3444,8.77
506,Bupa Woodend,3442,Goonawarra Day Hospital,Private,11 Dornoch Drive Hume VIC 3429,18.47
174,CCSSCI - On Luck Chinese Nursing Home,3111,Maroondah Hospital,Public,1-15 Davey Drive Davey VIC 3135,4.16
174,CCSSCI - On Luck Chinese Nursing Home,3111,Donvale Rehabilitation Hospital,Private,1119-1121 Doncaster Road Manningham VIC 3109,1.41
241,Cabrini Residential Care-Ashwood,3147,Skin Cancer Day Surgery,Private,19 Cleveland Road Monash VIC 3147,0.52
241,Cabrini Residential Care-Ashwood,3147,Monash Medical Centre (Clayton),Public,246 Clayton Road Clayton VIC 3168,3.81
628,Caladenia Nursing Home,3764,Kilmore and District Hospital,Public,1 Anderson Road Kilmore VIC 3764,0.54
628,Caladenia Nursing Home,3764,Goonawarra Day Hospital,Private,11 Dornoch Drive Hume VIC 3429,22.19
191,Camberwell Green,3124,Linley Clinic,Private,25 Bryson Street Boroondara VIC 3126,0.69
191,Camberwell Green,3124,O'Connell Family Centre,Public,6 Katamatite-nathalia Road Canterbury VIC 3126,1.83
97,Cambridge House,3066,Royal Victorian Eye and Ear Hospital,Public,32 Gisborne Street Gisborne VIC 3002,0.57
97,Cambridge House,3066,East Melbourne Specialist Day Hospital,Private,23 Clarendon Street Melbourne VIC 3002,0.33
713,Capel Sands,3940,Rosebud Hospital,Public,1527 Pascoe Road Pascoe VIC 3940,0.47
713,Capel Sands,3940,Rosebud SurgiCentre,Private,1537 Pine Road Pine VIC 3940,0.42
717,Carinya Lodge Homes,3950,Gippsland Southern Health Service (Korumburra),Public,65-77 Bridge Street Korumburra VIC 3950,1.09
717,Carinya Lodge Homes,3950,Neerim District Health Service,Private,29-39 Church Road Church VIC 3831,29.73
711,Carinya Nursing Home (Frankston Extended Care),3940,Rosebud Hospital,Public,1527 Pascoe Road Pascoe VIC 3940,0.61
711,Carinya Nursing Home (Frankston Extended Care),3940,Rosebud SurgiCentre,Private,1537 Pine Road Pine VIC 3940,0.6
374,Carrum Downs Aged Care,3201,Bayside Day Procedure and Specialist Centre,Private,141 Cranbourne Road Frankston VIC 3199,4.0
374,Carrum Downs Aged Care,3201,Frankston Hospital,Public,2 Hastings Road Frankston VIC 3199,4.57
375,Carrum Downs Nursing Home (Meracare),3201,Frankston Hospital,Public,2 Hastings Road Frankston VIC 3199,4.48
375,Carrum Downs Nursing Home (Meracare),3201,Bayside Day Procedure and Specialist Centre,Private,141 Cranbourne Road Frankston VIC 3199,3.93
553,Carshalton House Hostel,3555,Bendigo Health (Anne Caudle),Public,100A Barnard Street Bendigo VIC 3550,2.37
553,Carshalton House Hostel,3555,Bendigo Day Surgery,Private,1-7 Chum Street Chum VIC 3555,1.26
644,Casey Aged Care,3805,Casey Hospital,Public,62-70 Kangan Drive Berwick VIC 3806,2.08
644,Casey Aged Care,3805,Casey Day Procedure and Specialist Centre,Private,30-32 Verdun Drive Casey VIC 3805,1.31
643,Casey Manor Aged Care,3805,The Hampton Park Women's Health Care Centre,Private,4 Warana Drive Casey VIC 3976,1.62
643,Casey Manor Aged Care,3805,Casey Hospital,Public,62-70 Kangan Drive Berwick VIC 3806,3.36
442,Casterton Memorial Hospital Nursing Home - Glenelg House,3311,Casterton Memorial Hospital,Public,63 Russell Street Casterton VIC 3311,0.03
442,Casterton Memorial Hospital Nursing Home - Glenelg House,3311,St John of God Warrnambool Hospital,Private,136 Botanic Road Warrnambool VIC 3280,80.13
509,Castlemaine Health - Residential Aged Care,3450,Bendigo Day Surgery,Private,1-7 Chum Street Chum VIC 3555,20.48
509,Castlemaine Health - Residential Aged Care,3450,Castlemaine Health,Public,142 Cornish Street Castlemaine VIC 3450,0.25
327,Central Park,3181,Vision Laser St Kilda Road,Private,600-602 Whitehorse Road Whitehorse VIC 3004,0.21
327,Central Park,3181,The Alfred,Public,55 Commercial Road Melbourne VIC 3004,0.37
531,Chaffey Aged Care,3505,Mildura Base Hospital,Private,216-240 Ontario Avenue Mildura VIC 3500,4.98
531,Chaffey Aged Care,3505,Mildura Base Hospital,Public,216-240 Ontario Avenue Mildura VIC 3500,4.98
159,Charlesbrook Aged Care,3106,Manningham Day Procedure Centre,Private,503/200 High Street Manningham VIC 3107,2.48
159,Charlesbrook Aged Care,3106,Box Hill Hospital,Public,8 Arnold Street Arnold VIC 3128,4.59
534,Charlton Aged Care,3525,Bendigo Day Surgery,Private,1-7 Chum Street Chum VIC 3555,60.94
534,Charlton Aged Care,3525,East Wimmera Health Service (Charlton),Public,4 Learmonth Street Charlton VIC 3525,0.23
346,Cheltenham Manor,3192,Kingston Centre,Public,400 Warrigal Road Heatherton VIC 3202,1.36
346,Cheltenham Manor,3192,Chesterville Day Hospital,Private,28 Chesterville Road Kingston VIC 3192,0.29
320,Chestnut Gardens Aged Care Home,3177,Corymbia House Day Hospital,Private,92-94 David Street David VIC 3175,1.52
320,Chestnut Gardens Aged Care Home,3177,Dandenong Hospital,Public,135 David Street Dandenong VIC 3175,1.49
326,Chomley House,3181,The Alfred,Public,55 Commercial Road Melbourne VIC 3004,1.5
326,Chomley House,3181,Cabrini Prahran,Private,646-646A High Street Stonnington VIC 3181,0.24
64,Churches of Christ Care Arcadia Aged Care Service,3040,The Essendon Private Hospital,Private,35 Rosehill Road Rosehill VIC 3040,1.04
64,Churches of Christ Care Arcadia Aged Care Service,3040,Orygen Inpatient Unit,Public,10 Mavis Street Footscray VIC 3011,3.2
291,Churches of Christ Care Oak Towers Aged Care Service,3166,Monash Medical Centre (Clayton),Public,246 Clayton Road Clayton VIC 3168,1.68
291,Churches of Christ Care Oak Towers Aged Care Service,3166,Sir John Monash Private Hospital,Private,212-220 Clayton Road Monash VIC 3168,1.54
377,Claremont Terrace,3204,,Public,,
377,Claremont Terrace,3204,,Private,,
296,Clarinda Manor Aged Care,3169,Monash Surgical Private Hospital,Private,252-256 Clayton Road Monash VIC 3168,1.03
296,Clarinda Manor Aged Care,3169,Monash Medical Centre (Clayton),Public,246 Clayton Road Clayton VIC 3168,1.17
100,Clifton Views,3068,,Public,,
100,Clifton Views,3068,,Private,,
266,Clovelly Cottage,3155,Angliss Hospital,Public,39 Albert Street Albert VIC 3156,3.39
266,Clovelly Cottage,3155,The Melbourne Eastern Private Hospital,Private,153-159 Scoresby Road Knox VIC 3155,1.37
520,Coates Hostel,3478,Bendigo Day Surgery,Private,1-7 Chum Street Chum VIC 3555,57.25
520,Coates Hostel,3478,East Wimmera Health Service (St Arnaud),Public,52 Aitken Road Aitken VIC 3478,0.11
561,Cohuna District Nursing Home,3568,Bendigo Day Surgery,Private,1-7 Chum Street Chum VIC 3555,65.77
561,Cohuna District Nursing Home,3568,Cohuna District Hospital,Public,144-158 Broadway Street Cohuna VIC 3568,0.67
560,Cohuna Retirement Village,3568,Bendigo Day Surgery,Private,1-7 Chum Street Chum VIC 3555,66.33
560,Cohuna Retirement Village,3568,Cohuna District Hospital,Public,144-158 Broadway Street Cohuna VIC 3568,0.06
656,Cooinda Lodge Nursing Home,3820,Neerim District Health Service,Private,29-39 Church Road Church VIC 3831,10.46
656,Cooinda Lodge Nursing Home,3820,West Gippsland Healthcare Group (Warragul),Public,41 Landsborough Street Warragul VIC 3820,0.19
595,Cooinda Village Inc.,3672,Benalla Health,Public,47-63 Coster Street Benalla VIC 3672,0.18
595,Cooinda Village Inc.,3672,Wangaratta Private Hospital,Private,134-150 Templeton Street Wangaratta VIC 3677,22.7
642,Coptic Village Hostel,3805,,Public,,
642,Coptic Village Hostel,3805,,Private,,
418,Corangamarah,3250,Colac Area Health,Public,12 Connor Street Colac VIC 3250,0.04
418,Corangamarah,3250,Epworth Geelong,Private,1 Epworth Place Epworth VIC 3216,40.48
92,Corpus Christi Community Greenvale Incorporated,3059,Craigieburn Health Service,Public,274-304 Craigieburn Road Craigieburn VIC 3064,3.59
92,Corpus Christi Community Greenvale Incorporated,3059,Keilor Private,Private,12A Kennedy Street Brimbank VIC 3036,6.21
608,Corryong Health,3707,Murray Valley Private Hospital,Private,2/69 Nordsvan Drive Wodonga VIC 3690,57.55
608,Corryong Health,3707,Upper Murray Health and Community Services (Corryong),Public,16-20 Kiell Street Corryong VIC 3707,0.08
382,Costa House - Karingal St Laurence (genU),3212,McKellar Centre (Geelong),Public,45-99 Ballarat Road Ballarat VIC 3215,7.42
382,Costa House - Karingal St Laurence (genU),3212,Specialist Surgicentre Geelong,Private,200 Malop Street Malop VIC 3220,8.78
646,CraigCare Berwick,3806,Casey Day Procedure and Specialist Centre,Private,30-32 Verdun Drive Casey VIC 3805,0.8
646,CraigCare Berwick,3806,Casey Hospital,Public,62-70 Kangan Drive Berwick VIC 3806,1.51
61,CraigCare Moonee Ponds,3039,Royal Melbourne Hospital (Royal Park Campus),Public,34-56 Poplar Road Parkville VIC 3052,1.81
61,CraigCare Moonee Ponds,3039,Essendon Private Clinic,Private,665 Wantirna Road Wantirna VIC 3039,0.24
706,CraigCare Mornington,3934,Mornington Endoscopy,Private,350 Main Street Main VIC 3931,2.36
706,CraigCare Mornington,3934,The Mornington Centre,Public,24 Separation Street Mornington VIC 3931,2.18
68,CraigCare Pascoe Vale,3044,Broadmeadows Health Service,Public,35-57 Johnstone Street Jacana VIC 3047,2.68
68,CraigCare Pascoe Vale,3044,Dorset Rehabilitation Centre,Private,146 Derby Street Moreland VIC 3044,0.6
74,CraigCare Plumpton Villa,3046,Dorset Rehabilitation Centre,Private,146 Derby Street Moreland VIC 3044,1.76
74,CraigCare Plumpton Villa,3046,Broadmeadows Health Service,Public,35-57 Johnstone Street Jacana VIC 3047,1.75
476,Creswick Nursing Home,3363,Ballarat Surgicentre,Private,5-9 Wood Street Ballarat VIC 3350,8.37
476,Creswick Nursing Home,3363,Creswick District Hospital,Public,1 Napier Street Creswick VIC 3363,0.37
721,Crossley House Hostel Inc,3971,Yarram and District Health Service,Public,85-91 Commercial Road Yarram VIC 3971,0.28
721,Crossley House Hostel Inc,3971,Maryvale Private Hospital,Private,286 Maryvale Road Latrobe VIC 3840,27.71
19,Cumberland Manor,3020,Sunshine Hospital,Public,176-190 Furlong Road Furlong VIC 3021,1.72
19,Cumberland Manor,3020,Dr Scope,Private,493 Ballarat Road Brimbank VIC 3020,0.51
248,Cumberland View Aged Care Living - Whalley Drive,3150,The Victorian Rehabilitation Centre,Private,499 Springvale Road Monash VIC 3150,1.94
248,Cumberland View Aged Care Living - Whalley Drive,3150,Monash Medical Centre (Clayton),Public,246 Clayton Road Clayton VIC 3168,3.7
45,Cyril Jewell House,3033,The Essendon Private Hospital,Private,35 Rosehill Road Rosehill VIC 3040,1.51
45,Cyril Jewell House,3033,Sunshine Hospital,Public,176-190 Furlong Road Furlong VIC 3021,2.87
609,Darlingford Upper Goulburn Nursing Home,3713,Alexandra District Hospital,Public,12 Cooper Street Alexandra VIC 3714,10.79
609,Darlingford Upper Goulburn Nursing Home,3713,Euroa Health Inc,Private,36 Kennedy Street Strathbogie VIC 3666,37.68
511,Daylesford Nursing Home,3460,Daylesford District Hospital,Public,15 Hospital Street Daylesford VIC 3460,0.03
511,Daylesford Nursing Home,3460,Ballan District Health & Care,Private,33 Cowie Street Moorabool VIC 3342,18.56
215,Della dale Aged Care,3134,Ringwood Radiation Oncology Centre,Private,36 Frankston-flinders Road Maroondah VIC 3135,0.86
215,Della dale Aged Care,3134,Maroondah Hospital,Public,1-15 Davey Drive Davey VIC 3135,1.35
143,Deloraine Private Nursing Home,3088,Diaverum Diamond Valley Dialysis Clinic,Private,15 Grimshaw Street Banyule VIC 3088,0.73
143,Deloraine Private Nursing Home,3088,Bundoora Extended Care Centre,Public,1231 Plenty Road Bundoora VIC 3083,2.18
220,Diana Street Lodge,3136,Ringwood Private Hospital,Private,36 Mcclelland Road Maroondah VIC 3135,1.23
220,Diana Street Lodge,3136,Maroondah Hospital,Public,1-15 Davey Drive Davey VIC 3135,0.56
494,Dimboola District Hospital Nursing Home Unit,3414,Ballarat Day Procedure Centre,Private,1117-1123 Howitt Street Ballarat VIC 3355,125.08
494,Dimboola District Hospital Nursing Home Unit,3414,Wimmera Base Hospital (Dimboola),Public,32 Anderson Street Dimboola VIC 3414,0.15
66,Dorothy Impey Home,3044,Dorset Rehabilitation Centre,Private,146 Derby Street Moreland VIC 3044,0.86
66,Dorothy Impey Home,3044,Royal Melbourne Hospital (Royal Park Campus),Public,34-56 Poplar Road Parkville VIC 3052,2.95
49,Doutta Galla Avondale Heights Aged Care Facility,3034,The Essendon Private Hospital,Private,35 Rosehill Road Rosehill VIC 3040,1.36
49,Doutta Galla Avondale Heights Aged Care Facility,3034,Sunshine Hospital,Public,176-190 Furlong Road Furlong VIC 3021,2.52
6,Doutta Galla Footscray Aged Care Facility,3011,Tweddle Child and Family Health Service,Public,49-71 Adelaide Street Footscray VIC 3011,0.26
6,Doutta Galla Footscray Aged Care Facility,3011,Vision Day Surgery Footscray,Private,89 Paisley Street Maribyrnong VIC 3011,0.2
21,Doutta Galla Grantham Green Aged Care Facility,3021,Sunshine Private Day Surgery,Private,145 Furlong Road Brimbank VIC 3021,0.6
21,Doutta Galla Grantham Green Aged Care Facility,3021,Sunshine Hospital,Public,176-190 Furlong Road Furlong VIC 3021,0.53
42,Doutta Galla Lynch's Bridge Aged Care Facility,3031,Diaverum North Melbourne Dialysis Clinic,Private,185 Boundary Road Melbourne VIC 3051,0.76
42,Doutta Galla Lynch's Bridge Aged Care Facility,3031,"Royal Children's Hospital, The",Public,50 Flemington Road Parkville VIC 3052,1.26
60,Doutta Galla Queens Park Aged Care Facility,3039,Royal Melbourne Hospital (Royal Park Campus),Public,34-56 Poplar Road Parkville VIC 3052,1.82
60,Doutta Galla Queens Park Aged Care Facility,3039,Essendon Private Clinic,Private,665 Wantirna Road Wantirna VIC 3039,0.4
14,Doutta Galla Woornack Aged Care Facility,3020,Dr Scope,Private,493 Ballarat Road Brimbank VIC 3020,0.9
14,Doutta Galla Woornack Aged Care Facility,3020,Sunshine Hospital,Public,176-190 Furlong Road Furlong VIC 3021,1.98
9,Doutta Galla Yarraville Village Aged Care Facility,3013,Vision Day Surgery Footscray,Private,89 Paisley Street Maribyrnong VIC 3011,0.93
9,Doutta Galla Yarraville Village Aged Care Facility,3013,Tweddle Child and Family Health Service,Public,49-71 Adelaide Street Footscray VIC 3011,1.15
403,Drysdale Grove,3222,The Geelong Clinic,Private,94-102 Townsend Road Townsend VIC 3219,9.19
403,Drysdale Grove,3222,University Hospital Geelong,Public,272-322 Ryrie Street Geelong VIC 3220,10.78
486,Dunmunkle Lodge Inc,3392,West Wimmera Health Service (Rupanyup),Public,89-91 Cromie Street Rupanyup VIC 3388,12.52
486,Dunmunkle Lodge Inc,3392,Bendigo Day Surgery,Private,1-7 Chum Street Chum VIC 3555,95.15
518,Dunolly Nursing Home,3472,Bendigo Day Surgery,Private,1-7 Chum Street Chum VIC 3555,29.92
518,Dunolly Nursing Home,3472,Maryborough District Health Service (Dunolly),Public,20 Havelock Street Dunolly VIC 3472,0.06
48,Edenvale Manor Aged Care Facility,3033,The Essendon Private Hospital,Private,35 Rosehill Road Rosehill VIC 3040,1.55
48,Edenvale Manor Aged Care Facility,3033,Sunshine Hospital,Public,176-190 Furlong Road Furlong VIC 3021,2.66
443,Edgarley Home,3311,Casterton Memorial Hospital,Public,63 Russell Street Casterton VIC 3311,0.31
443,Edgarley Home,3311,St John of God Warrnambool Hospital,Private,136 Botanic Road Warrnambool VIC 3280,79.94
67,Edith Bendall Lodge,3044,Dorset Rehabilitation Centre,Private,146 Derby Street Moreland VIC 3044,1.25
67,Edith Bendall Lodge,3044,Broadmeadows Health Service,Public,35-57 Johnstone Street Jacana VIC 3047,3.24
271,Edward Street Nursing Home,3156,Angliss Hospital,Public,39 Albert Street Albert VIC 3156,0.23
271,Edward Street Nursing Home,3156,The Melbourne Eastern Private Hospital,Private,153-159 Scoresby Road Knox VIC 3155,4.05
334,Elanora Residential Care,3186,Brighton Plastic Surgery Centre,Private,206 New Street Bayside VIC 3186,1.12
334,Elanora Residential Care,3186,Calvary Health Care Bethlehem,Public,476-482 Kooyong Road Kooyong VIC 3162,2.5
81,Elderly Chinese Home,3052,"Royal Children's Hospital, The",Public,50 Flemington Road Parkville VIC 3052,0.61
81,Elderly Chinese Home,3052,Diaverum North Melbourne Dialysis Clinic,Private,185 Boundary Road Melbourne VIC 3051,0.16
413,Elouera Aged Care Centre,3228,University Hospital Geelong,Public,272-322 Ryrie Street Geelong VIC 3220,12.29
