,School,Postcode,Nearest Hospital,Type,Hopsital Address,Distance (miles)
2258,Fitra Community School,3169,Monash Medical Centre (Clayton),Public,246 Clayton Road Clayton VIC 3168,1.92
2258,Fitra Community School,3169,Springvale Endoscopy Centre and Day Hospital,Private,20 Balmoral Avenue Balmoral VIC 3171,0.65
2037,Fitzroy Community School,3068,Skin & Cancer Foundation Incorporated,Private,80 Drummond Street Melbourne VIC 3053,1.26
2037,Fitzroy Community School,3068,Royal Dental Hospital (Melbourne),Public,720 Swanston Street Carlton VIC 3053,1.09
1433,Fitzroy High School,3068,Royal Dental Hospital (Melbourne),Public,720 Swanston Street Carlton VIC 3053,1.6
1433,Fitzroy High School,3068,Darebin Endoscopy Services,Private,42 Station Street Darebin VIC 3078,1.67
251,Fitzroy North Primary School,3068,Skin & Cancer Foundation Incorporated,Private,80 Drummond Street Melbourne VIC 3053,1.63
251,Fitzroy North Primary School,3068,Royal Dental Hospital (Melbourne),Public,720 Swanston Street Carlton VIC 3053,1.46
51,Fitzroy Primary School,3065,St Vincent's Private Hospital Fitzroy,Private,59-61 Victoria Parade Yarra VIC 3065,0.64
51,Fitzroy Primary School,3065,St Vincent's Hospital,Public,41 Victoria Parade Fitzroy VIC 3065,0.61
680,Fleetwood Primary School,3805,Casey Day Procedure and Specialist Centre,Private,30-32 Verdun Drive Casey VIC 3805,1.03
680,Fleetwood Primary School,3805,Casey Hospital,Public,62-70 Kangan Drive Berwick VIC 3806,1.62
29,Flemington Primary School,3031,Diaverum North Melbourne Dialysis Clinic,Private,185 Boundary Road Melbourne VIC 3051,0.64
29,Flemington Primary School,3031,Royal Melbourne Hospital (Royal Park Campus),Public,34-56 Poplar Road Parkville VIC 3052,0.83
2078,Flinders Christian Community College,3913,Golf Links Road Rehabilitation Centre,Public,125 Market Road Frankston VIC 3199,6.24
2078,Flinders Christian Community College,3913,Beleura Private Hospital,Private,925 Nepean Highway Nepean VIC 3931,6.92
495,Flowerdale Primary School,3717,Epping Radiation Oncology Centre,Private,230 Cooper Street Whittlesea VIC 3076,27.72
495,Flowerdale Primary School,3717,Yea and District Memorial Hospital,Public,45 Station Street Yea VIC 3717,10.49
329,Footscray City Primary School,3011,Tweddle Child and Family Health Service,Public,49-71 Adelaide Street Footscray VIC 3011,0.93
329,Footscray City Primary School,3011,Vision Day Surgery Footscray,Private,89 Paisley Street Maribyrnong VIC 3011,0.49
1311,Footscray High School,3011,Western Gastroenterology Services,Private,30 Eleanor Street Maribyrnong VIC 3011,0.48
1311,Footscray High School,3011,Western Hospital (Footscray),Public,160 Gordon Street Footscray VIC 3011,0.37
641,Footscray North Primary School,3011,Orygen Inpatient Unit,Public,10 Mavis Street Footscray VIC 3011,0.31
641,Footscray North Primary School,3011,Western Gastroenterology Services,Private,30 Eleanor Street Maribyrnong VIC 3011,0.31
30,Footscray Primary School,3011,Tweddle Child and Family Health Service,Public,49-71 Adelaide Street Footscray VIC 3011,0.29
30,Footscray Primary School,3011,Vision Day Surgery Footscray,Private,89 Paisley Street Maribyrnong VIC 3011,0.2
594,Footscray West Primary School,3012,Ursula Frayne Centre,Public,160 Gordon Street Footscray VIC 3011,0.68
594,Footscray West Primary School,3012,Western Private Hospital,Private,1-9 Marion Street Maribyrnong VIC 3011,0.58
1426,Forest Hill College,3151,"Peter James Centre, The",Public,321-345 Burwood Highway Burwood VIC 3131,0.27
1426,Forest Hill College,3151,Forest Hill Dialysis Clinic,Private,69 Mahoneys Road Whitehorse VIC 3131,0.86
832,Forest Street Primary School,3355,Ballarat Day Procedure Centre,Private,1117-1123 Howitt Street Ballarat VIC 3355,1.21
832,Forest Street Primary School,3355,Ballarat Hospital,Public,1 Drummond Street Drummond VIC 3350,2.54
440,Forrest Primary School,3236,Colac Area Health,Public,12 Connor Street Colac VIC 3250,13.98
440,Forrest Primary School,3236,Epworth Geelong,Private,1 Epworth Place Epworth VIC 3216,39.01
1225,Foster Primary School,3960,South Gippsland Hospital (Foster),Public,83 Station Road Foster VIC 3960,0.25
1225,Foster Primary School,3960,Maryvale Private Hospital,Private,286 Maryvale Road Latrobe VIC 3840,32.69
1312,Foster Secondary College,3960,South Gippsland Hospital (Foster),Public,83 Station Road Foster VIC 3960,0.68
1312,Foster Secondary College,3960,Maryvale Private Hospital,Private,286 Maryvale Road Latrobe VIC 3840,32.42
904,Fountain Gate Primary School,3805,Casey Day Procedure and Specialist Centre,Private,30-32 Verdun Drive Casey VIC 3805,1.49
904,Fountain Gate Primary School,3805,Casey Hospital,Public,62-70 Kangan Drive Berwick VIC 3806,3.74
1508,Fountain Gate Secondary College,3805,Casey Hospital,Public,62-70 Kangan Drive Berwick VIC 3806,3.9
1508,Fountain Gate Secondary College,3805,Casey Day Procedure and Specialist Centre,Private,30-32 Verdun Drive Casey VIC 3805,1.65
2062,Frank Dando Sports Academy,3147,"Peter James Centre, The",Public,321-345 Burwood Highway Burwood VIC 3131,3.17
2062,Frank Dando Sports Academy,3147,Skin Cancer Day Surgery,Private,19 Cleveland Road Monash VIC 3147,0.22
707,Frankston East Primary School,3199,Frankston Hospital,Public,2 Hastings Road Frankston VIC 3199,0.93
707,Frankston East Primary School,3199,Bayside Day Procedure and Specialist Centre,Private,141 Cranbourne Road Frankston VIC 3199,0.16
773,Frankston Heights Primary School,3199,St John of God Frankston Rehabilitation Hospital,Private,251-265 Cranbourne Road Frankston VIC 3199,0.79
773,Frankston Heights Primary School,3199,Golf Links Road Rehabilitation Centre,Public,125 Market Road Frankston VIC 3199,0.77
1313,Frankston High School,3199,Frankston Radiation Oncology Centre,Private,26 Frankston-flinders Road Frankston VIC 3199,0.47
1313,Frankston High School,3199,Frankston Hospital,Public,2 Hastings Road Frankston VIC 3199,0.66
243,Frankston Primary School,3199,Frankston Hospital,Public,2 Hastings Road Frankston VIC 3199,0.37
243,Frankston Primary School,3199,"Southern Eye Centre, Day Surgery & Laser Clinic",Private,42-44 Cranbourne Road Frankston VIC 3199,0.45
945,Frankston Special Developmental School,3199,Peninsula Private Hospital,Private,525 Mcclelland Drive Frankston VIC 3910,1.0
945,Frankston Special Developmental School,3199,Frankston Hospital,Public,2 Hastings Road Frankston VIC 3199,2.29
2155,Freshwater Creek Steiner School,3216,University Hospital Geelong,Public,272-322 Ryrie Street Geelong VIC 3220,9.03
2155,Freshwater Creek Steiner School,3216,Epworth Geelong,Private,1 Epworth Place Epworth VIC 3216,4.96
987,Furlong Park School For Deaf Children,3020,Sunshine Private Day Surgery,Private,145 Furlong Road Brimbank VIC 3021,0.59
987,Furlong Park School For Deaf Children,3020,Sunshine Hospital,Public,176-190 Furlong Road Furlong VIC 3021,0.62
822,Fyans Park Primary School,3220,University Hospital Geelong,Public,272-322 Ryrie Street Geelong VIC 3220,2.11
822,Fyans Park Primary School,3220,St John of God Geelong Hospital,Private,80 Myers Street Myers VIC 3220,1.69
1989,Galen Catholic College,3677,Northeast Health Wangaratta,Public,35-47 Green Street Wangaratta VIC 3677,1.09
1989,Galen Catholic College,3677,Wangaratta Private Hospital,Private,134-150 Templeton Street Wangaratta VIC 3677,0.73
2122,Galilee Regional Catholic Primary School,3205,The Alfred,Public,55 Commercial Road Melbourne VIC 3004,1.63
2122,Galilee Regional Catholic Primary School,3205,Albert Road Clinic,Private,31-33 Albert Road Albert VIC 3004,0.96
596,Gardenvale Primary School,3187,Glen Eira Day Surgery,Private,544 Hawthorn Road Hawthorn VIC 3162,0.37
596,Gardenvale Primary School,3187,Calvary Health Care Bethlehem,Public,476-482 Kooyong Road Kooyong VIC 3162,0.55
443,Garfield Primary School,3814,Neerim District Health Service,Private,29-39 Church Road Church VIC 3831,15.98
443,Garfield Primary School,3814,Kooweerup Regional Health Service,Public,215 Rossiter Road Rossiter VIC 3981,12.84
2164,Geelong Baptist College,3221,McKellar Centre (Geelong),Public,45-99 Ballarat Road Ballarat VIC 3215,3.61
2164,Geelong Baptist College,3221,Specialist Surgicentre Geelong,Private,200 Malop Street Malop VIC 3220,5.98
67,Geelong East Primary School,3219,University Hospital Geelong,Public,272-322 Ryrie Street Geelong VIC 3220,1.93
67,Geelong East Primary School,3219,The Geelong Clinic,Private,94-102 Townsend Road Townsend VIC 3219,0.72
1622,Geelong Grammar School,3214,McKellar Centre (Geelong),Public,45-99 Ballarat Road Ballarat VIC 3215,4.89
1622,Geelong Grammar School,3214,Specialist Surgicentre Geelong,Private,200 Malop Street Malop VIC 3220,5.82
1314,Geelong High School,3219,Specialist Surgicentre Geelong,Private,200 Malop Street Malop VIC 3220,0.49
1314,Geelong High School,3219,University Hospital Geelong,Public,272-322 Ryrie Street Geelong VIC 3220,0.47
2193,Geelong Lutheran College,3217,University Hospital Geelong,Public,272-322 Ryrie Street Geelong VIC 3220,5.68
2193,Geelong Lutheran College,3217,Epworth Geelong,Private,1 Epworth Place Epworth VIC 3216,3.05
377,Geelong South Primary School,3220,University Hospital Geelong,Public,272-322 Ryrie Street Geelong VIC 3220,0.54
377,Geelong South Primary School,3220,St John of God Geelong Hospital,Private,80 Myers Street Myers VIC 3220,0.39
418,Gembrook Primary School,3783,Casey Hospital,Public,62-70 Kangan Drive Berwick VIC 3806,12.59
418,Gembrook Primary School,3783,Berwick Surgicentre,Private,22 Langmore Lane Casey VIC 3806,12.23
1671,Genazzano FCJ College,3101,St George's Health Service (Aged Care),Public,283 Cotham Road Kew VIC 3101,0.14
1671,Genazzano FCJ College,3101,Cotham Private Hospital,Private,209 Cotham Road Boroondara VIC 3101,0.41
756,George Street Primary School - Hamilton,3300,Hamilton Base Hospital,Public,20 Foster Street Hamilton VIC 3300,0.68
756,George Street Primary School - Hamilton,3300,St John of God Warrnambool Hospital,Private,136 Botanic Road Warrnambool VIC 3280,49.44
2064,Ghilgai School,3137,Maroondah Hospital,Public,1-15 Davey Drive Davey VIC 3135,3.8
2064,Ghilgai School,3137,Marie Stopes International Maroondah,Private,415 Dorset Road Maroondah VIC 3136,2.16
2237,Giant Steps Melbourne,3101,Caritas Christi Hospice Ltd,Public,104 Kooyong Road Kew VIC 3101,0.88
2237,Giant Steps Melbourne,3101,St Vincent's Private Hospital Kew,Private,5 Studley Avenue Boroondara VIC 3101,0.5
1987,Gilson College,3037,St Albans Endoscopy Centre,Private,328-330 Station Road Brimbank VIC 3021,1.61
1987,Gilson College,3037,Sunshine Hospital,Public,176-190 Furlong Road Furlong VIC 3021,3.78
1748,Gippsland Grammar,3850,Central Gippsland Health Service (Sale),Public,155 Guthridge Parade Sale VIC 3850,1.33
1748,Gippsland Grammar,3850,Heyfield Hospital Incorporated,Private,14-16 Licola Road Wellington VIC 3858,17.32
617,Girgarre Primary School,3624,Kyabram and District Health Services,Public,86-96 Fenaughty Street Kyabram VIC 3620,6.87
617,Girgarre Primary School,3624,Shepparton Private Hospital,Private,20 Fitzgerald Street Fitzgerald VIC 3630,24.51
2120,Girton Grammar School,3550,St John of God Bendigo Hospital,Private,133-145 Lily Street Lily VIC 3550,0.38
2120,Girton Grammar School,3550,Bendigo Health (Anne Caudle),Public,100A Barnard Street Bendigo VIC 3550,0.89
2156,Gisborne Montessori School,3438,Goonawarra Day Hospital,Private,11 Dornoch Drive Hume VIC 3429,11.98
2156,Gisborne Montessori School,3438,Sunbury Day Hospital,Public,7 Macedon Street Sunbury VIC 3429,11.23
31,Gisborne Primary School,3437,Goonawarra Day Hospital,Private,11 Dornoch Drive Hume VIC 3429,10.77
31,Gisborne Primary School,3437,Sunbury Day Hospital,Public,7 Macedon Street Sunbury VIC 3429,9.91
1316,Gisborne Secondary College,3437,Goonawarra Day Hospital,Private,11 Dornoch Drive Hume VIC 3429,10.66
1316,Gisborne Secondary College,3437,Sunbury Day Hospital,Public,7 Macedon Street Sunbury VIC 3429,9.79
901,Gladesville Primary School,3137,Marie Stopes International Maroondah,Private,415 Dorset Road Maroondah VIC 3136,1.87
901,Gladesville Primary School,3137,Maroondah Hospital,Public,1-15 Davey Drive Davey VIC 3135,3.7
869,Gladstone Park Primary School,3043,Keilor Private,Private,12A Kennedy Street Brimbank VIC 3036,3.66
869,Gladstone Park Primary School,3043,Broadmeadows Health Service,Public,35-57 Johnstone Street Jacana VIC 3047,1.48
1317,Gladstone Park Secondary College,3043,Keilor Private,Private,12A Kennedy Street Brimbank VIC 3036,3.7
1317,Gladstone Park Secondary College,3043,Broadmeadows Health Service,Public,35-57 Johnstone Street Jacana VIC 3047,1.34
915,Gladstone Views Primary School,3043,Dorset Rehabilitation Centre,Private,146 Derby Street Moreland VIC 3044,3.58
915,Gladstone Views Primary School,3043,Broadmeadows Health Service,Public,35-57 Johnstone Street Jacana VIC 3047,0.89
619,Gladysdale Primary School,3797,Healesville and District Hospital,Public,377 Maroondah Highway Healesville VIC 3777,13.7
619,Gladysdale Primary School,3797,Marie Stopes International Maroondah,Private,415 Dorset Road Maroondah VIC 3136,19.83
1414,Glen Eira College,3145,Caulfield General Medical Centre,Public,260 Kooyong Road Caulfield VIC 3162,1.19
1414,Glen Eira College,3145,Melbourne Day Surgery Centre,Private,961 High Road High VIC 3162,0.44
574,Glen Huntly Primary School,3163,Caulfield General Medical Centre,Public,260 Kooyong Road Caulfield VIC 3162,1.79
574,Glen Huntly Primary School,3163,Melbourne Day Surgery Centre,Private,961 High Road High VIC 3162,0.96
178,Glen Iris Primary School,3146,Malvern Private Hospital,Private,3-9 Bryson Crescent Stonnington VIC 3145,0.53
178,Glen Iris Primary School,3146,O'Connell Family Centre,Public,6 Katamatite-nathalia Road Canterbury VIC 3126,3.06
1021,Glen Katherine Primary School,3095,Bundoora Extended Care Centre,Public,1231 Plenty Road Bundoora VIC 3083,4.72
1021,Glen Katherine Primary School,3095,Diaverum Diamond Valley Dialysis Clinic,Private,15 Grimshaw Street Banyule VIC 3088,2.06
171,Glen Park Primary School,3352,Ballarat Hospital,Public,1 Drummond Street Drummond VIC 3350,5.34
171,Glen Park Primary School,3352,Ballarat Surgicentre,Private,5-9 Wood Street Ballarat VIC 3350,4.72
1113,Glen Waverley Primary School,3150,"Peter James Centre, The",Public,321-345 Burwood Highway Burwood VIC 3131,1.55
1113,Glen Waverley Primary School,3150,The Glen Endoscopy Centre,Private,302 Springvale Road Monash VIC 3150,0.7
1460,Glen Waverley Secondary College,3150,"Peter James Centre, The",Public,321-345 Burwood Highway Burwood VIC 3131,1.78
1460,Glen Waverley Secondary College,3150,The Glen Endoscopy Centre,Private,302 Springvale Road Monash VIC 3150,0.48
1124,Glen Waverley South Primary School,3150,Monash Medical Centre (Clayton),Public,246 Clayton Road Clayton VIC 3168,2.96
1124,Glen Waverley South Primary School,3150,The Victorian Rehabilitation Centre,Private,499 Springvale Road Monash VIC 3150,0.32
845,Glenallen School,3150,The Glen Endoscopy Centre,Private,302 Springvale Road Monash VIC 3150,0.32
845,Glenallen School,3150,"Peter James Centre, The",Public,321-345 Burwood Highway Burwood VIC 3131,2.48
871,Glendal Primary School,3150,"Peter James Centre, The",Public,321-345 Burwood Highway Burwood VIC 3131,1.05
871,Glendal Primary School,3150,Waverley Endoscopy,Private,301 Blackburn Road Monash VIC 3149,1.14
1507,Gleneagles Secondary College,3802,Dandenong Eye Clinic & Day Surgery Centre,Private,1-3 Falkiner Crescent Falkiner VIC 3175,2.91
1507,Gleneagles Secondary College,3802,Dandenong Hospital,Public,135 David Street Dandenong VIC 3175,3.17
255,Glenferrie Primary School,3122,St George's Health Service (Aged Care),Public,283 Cotham Road Kew VIC 3101,1.47
255,Glenferrie Primary School,3122,Glenferrie Private Hospital,Private,29 Hilda Crescent Boroondara VIC 3122,0.36
895,Glengala Primary School,3020,Sunshine Hospital,Public,176-190 Furlong Road Furlong VIC 3021,2.7
895,Glengala Primary School,3020,Dr Scope,Private,493 Ballarat Road Brimbank VIC 3020,1.78
461,Glengarry Primary School,3854,Latrobe Regional Hospital,Public,10 Village Avenue Traralgon VIC 3844,8.32
461,Glengarry Primary School,3854,Maryvale Private Hospital,Private,286 Maryvale Road Latrobe VIC 3840,10.27
305,Glenrowan Primary School,3675,Wangaratta Private Hospital,Private,134-150 Templeton Street Wangaratta VIC 3677,9.15
305,Glenrowan Primary School,3675,Northeast Health Wangaratta,Public,35-47 Green Street Wangaratta VIC 3677,8.92
1188,Glenroy Central Primary School,3046,Broadmeadows Health Service,Public,35-57 Johnstone Street Jacana VIC 3047,1.52
1188,Glenroy Central Primary School,3046,Dorset Rehabilitation Centre,Private,146 Derby Street Moreland VIC 3044,1.79
2215,Glenroy Private,3046,Dorset Rehabilitation Centre,Private,146 Derby Street Moreland VIC 3044,2.02
2215,Glenroy Private,3046,Broadmeadows Health Service,Public,35-57 Johnstone Street Jacana VIC 3047,1.28
1522,Glenroy Secondary College,3046,Dorset Rehabilitation Centre,Private,146 Derby Street Moreland VIC 3044,1.77
1522,Glenroy Secondary College,3046,Broadmeadows Health Service,Public,35-57 Johnstone Street Jacana VIC 3047,1.55
819,Glenroy Specialist School,3046,Broadmeadows Health Service,Public,35-57 Johnstone Street Jacana VIC 3047,1.12
819,Glenroy Specialist School,3046,Dorset Rehabilitation Centre,Private,146 Derby Street Moreland VIC 3044,2.21
767,Glenroy West Primary School,3046,Broadmeadows Health Service,Public,35-57 Johnstone Street Jacana VIC 3047,1.46
767,Glenroy West Primary School,3046,Dorset Rehabilitation Centre,Private,146 Derby Street Moreland VIC 3044,2.49
2257,Glowrey Catholic Primary School,3750,The Northern Hospital,Public,185 Cooper Street Epping VIC 3076,2.7
2257,Glowrey Catholic Primary School,3750,Epping Radiation Oncology Centre,Private,230 Cooper Street Whittlesea VIC 3076,2.67
1177,Golden Square Primary School,3555,Bendigo Day Surgery,Private,1-7 Chum Street Chum VIC 3555,0.64
1177,Golden Square Primary School,3555,Bendigo Health (Anne Caudle),Public,100A Barnard Street Bendigo VIC 3550,1.83
2136,Good News Lutheran College,3029,Westpoint Endoscopy Day Hospital,Private,243 Heaths Road Wyndham VIC 3030,1.69
2136,Good News Lutheran College,3029,Mercy Public Hospitals Inc (Werribee),Public,300-310 Princes Highway Werribee VIC 3030,2.76
2131,Good Samaritan Catholic Primary School,3064,Epping Radiation Oncology Centre,Private,230 Cooper Street Whittlesea VIC 3076,4.5
2131,Good Samaritan Catholic Primary School,3064,Craigieburn Health Service,Public,274-304 Craigieburn Road Craigieburn VIC 3064,2.03
2043,Good Shepherd College,3300,Hamilton Base Hospital,Public,20 Foster Street Hamilton VIC 3300,2.4
2043,Good Shepherd College,3300,St John of God Warrnambool Hospital,Private,136 Botanic Road Warrnambool VIC 3280,47.8
2017,Good Shepherd Lutheran Primary School,3136,Maroondah Hospital,Public,1-15 Davey Drive Davey VIC 3135,1.83
2017,Good Shepherd Lutheran Primary School,3136,Marie Stopes International Maroondah,Private,415 Dorset Road Maroondah VIC 3136,2.12
1955,Good Shepherd School,3150,The Victorian Rehabilitation Centre,Private,499 Springvale Road Monash VIC 3150,0.71
1955,Good Shepherd School,3150,Monash Medical Centre (Clayton),Public,246 Clayton Road Clayton VIC 3168,2.53
1013,Goonawarra Primary School,3429,Goonawarra Day Hospital,Private,11 Dornoch Drive Hume VIC 3429,0.09
1013,Goonawarra Primary School,3429,Sunbury Day Hospital,Public,7 Macedon Street Sunbury VIC 3429,1.03
277,Goornong Primary School,3557,St John of God Bendigo Hospital,Private,133-145 Lily Street Lily VIC 3550,16.69
277,Goornong Primary School,3557,"Bendigo Hospital, The",Public,62 Lucan Street Bendigo VIC 3550,15.3
97,Gordon Primary School,3345,Ballarat Hospital,Public,1 Drummond Street Drummond VIC 3350,14.25
97,Gordon Primary School,3345,Ballan District Health & Care,Private,33 Cowie Street Moorabool VIC 3342,6.54
1129,Gormandale And District Primary School,3873,Maryvale Private Hospital,Private,286 Maryvale Road Latrobe VIC 3840,16.41
1129,Gormandale And District Primary School,3873,Latrobe Regional Hospital,Public,10 Village Avenue Traralgon VIC 3844,13.64
1226,Goroke P-12 College,3412,Edenhope & District Hospital,Public,124-134 Elizabeth Street Edenhope VIC 3318,24.52
1226,Goroke P-12 College,3412,St John of God Warrnambool Hospital,Private,136 Botanic Road Warrnambool VIC 3280,126.58
2056,Goulburn Valley Grammar School,3630,Shepparton Hospital,Public,2-48 Graham Street Shepparton VIC 3630,2.54
2056,Goulburn Valley Grammar School,3630,Shepparton Private Hospital,Private,20 Fitzgerald Street Fitzgerald VIC 3630,2.21
696,Gowrie Street Primary School Shepparton,3630,Shepparton Hospital,Public,2-48 Graham Street Shepparton VIC 3630,0.51
696,Gowrie Street Primary School Shepparton,3630,Shepparton Private Hospital,Private,20 Fitzgerald Street Fitzgerald VIC 3630,0.96
2084,Grace Christian College Wodonga,3691,Albury Wodonga Health (Wodonga),Public,53-81 Vermont Street Wodonga VIC 3690,1.8
2084,Grace Christian College Wodonga,3691,Murray Valley Private Hospital,Private,2/69 Nordsvan Drive Wodonga VIC 3690,1.43
572,Grahamvale Primary School,3631,Shepparton Private Hospital,Private,20 Fitzgerald Street Fitzgerald VIC 3630,1.12
572,Grahamvale Primary School,3631,Shepparton Hospital,Public,2-48 Graham Street Shepparton VIC 3630,1.53
1083,Grasmere Primary School,3281,South West Healthcare (Warrnambool),Public,25 Ryot Street Warrnambool VIC 3280,7.06
1083,Grasmere Primary School,3281,St John of God Warrnambool Hospital,Private,136 Botanic Road Warrnambool VIC 3280,6.33
1087,Grayling Primary School,3978,Casey Hospital,Public,62-70 Kangan Drive Berwick VIC 3806,2.96
1087,Grayling Primary School,3978,Casey Radiation Oncology Centre,Private,2/55 Kangan Drive Casey VIC 3806,2.99
1138,Great Ryrie Primary School,3135,Maroondah Hospital,Public,1-15 Davey Drive Davey VIC 3135,1.51
1138,Great Ryrie Primary School,3135,Eastside Endoscopy Centre,Private,33 Wantirna Road Maroondah VIC 3134,0.62
113,Great Western Primary School,3374,Ballarat Day Procedure Centre,Private,1117-1123 Howitt Street Ballarat VIC 3355,60.38
113,Great Western Primary School,3374,Stawell Regional Health,Public,27-29 Sloane Street Stawell VIC 3380,7.27
1319,Greater Shepparton Secondary College,3630,Shepparton Hospital,Public,2-48 Graham Street Shepparton VIC 3630,0.8
1319,Greater Shepparton Secondary College,3630,Shepparton Private Hospital,Private,20 Fitzgerald Street Fitzgerald VIC 3630,1.07
807,Greenhills Primary School,3088,Bundoora Extended Care Centre,Public,1231 Plenty Road Bundoora VIC 3083,3.55
807,Greenhills Primary School,3088,Diaverum Diamond Valley Dialysis Clinic,Private,15 Grimshaw Street Banyule VIC 3088,1.09
360,Greensborough Primary School,3088,Bundoora Extended Care Centre,Public,1231 Plenty Road Bundoora VIC 3083,2.51
360,Greensborough Primary School,3088,Diaverum Diamond Valley Dialysis Clinic,Private,15 Grimshaw Street Banyule VIC 3088,0.41
1441,Greensborough Secondary College,3088,Diaverum Diamond Valley Dialysis Clinic,Private,15 Grimshaw Street Banyule VIC 3088,0.92
1441,Greensborough Secondary College,3088,Bundoora Extended Care Centre,Public,1231 Plenty Road Bundoora VIC 3083,2.06
126,Greenvale Primary School,3059,Broadmeadows Health Service,Public,35-57 Johnstone Street Jacana VIC 3047,3.4
126,Greenvale Primary School,3059,Keilor Private,Private,12A Kennedy Street Brimbank VIC 3036,6.21
1096,Greta Valley Primary School,3675,Benalla Health,Public,47-63 Coster Street Benalla VIC 3672,14.19
1096,Greta Valley Primary School,3675,Wangaratta Private Hospital,Private,134-150 Templeton Street Wangaratta VIC 3677,19.0
553,Grey Street Primary School (Traralgon),3844,Latrobe Regional Hospital,Public,10 Village Avenue Traralgon VIC 3844,3.99
553,Grey Street Primary School (Traralgon),3844,Maryvale Private Hospital,Private,286 Maryvale Road Latrobe VIC 3840,6.62
714,Greythorn Primary School,3104,Epworth Eastern,Private,1 Arnold Street Whitehorse VIC 3128,1.58
714,Greythorn Primary School,3104,Box Hill Hospital,Public,8 Arnold Street Arnold VIC 3128,1.5
1255,Grovedale College,3216,Epworth Geelong,Private,1 Epworth Place Epworth VIC 3216,1.66
1255,Grovedale College,3216,University Hospital Geelong,Public,272-322 Ryrie Street Geelong VIC 3220,4.58
34,Grovedale Primary School,3216,University Hospital Geelong,Public,272-322 Ryrie Street Geelong VIC 3220,3.34
34,Grovedale Primary School,3216,Epworth Geelong,Private,1 Epworth Place Epworth VIC 3216,2.34
906,Grovedale West Primary School,3216,Epworth Geelong,Private,1 Epworth Place Epworth VIC 3216,1.63
906,Grovedale West Primary School,3216,University Hospital Geelong,Public,272-322 Ryrie Street Geelong VIC 3220,4.41
475,Gruyere Primary School,3770,Yarra Ranges Health,Public,25 Market Street Lilydale VIC 3140,5.64
475,Gruyere Primary School,3770,Marie Stopes International Maroondah,Private,415 Dorset Road Maroondah VIC 3136,10.25
390,Gunbower Primary School,3566,St John of God Bendigo Hospital,Private,133-145 Lily Street Lily VIC 3550,56.0
390,Gunbower Primary School,3566,Cohuna District Hospital,Public,144-158 Broadway Street Cohuna VIC 3568,13.84
789,Guthridge Primary School,3850,Central Gippsland Health Service (Sale),Public,155 Guthridge Parade Sale VIC 3850,0.86
789,Guthridge Primary School,3850,Heyfield Hospital Incorporated,Private,14-16 Licola Road Wellington VIC 3858,18.31
876,Guthrie Street Primary School Shepparton,3630,Shepparton Hospital,Public,2-48 Graham Street Shepparton VIC 3630,2.55
876,Guthrie Street Primary School Shepparton,3630,Shepparton Private Hospital,Private,20 Fitzgerald Street Fitzgerald VIC 3630,2.92
154,Haddon Primary School,3351,"Queen Elizabeth Centre, The (Ballarat QEC)",Public,102 Ascot Street Ascot VIC 3350,6.81
154,Haddon Primary School,3351,Ballarat Day Procedure Centre,Private,1117-1123 Howitt Street Ballarat VIC 3355,6.92
1740,Haileybury College,3173,"Queen Elizabeth Centre, The",Public,37-53 Thomas Street Thomas VIC 3174,2.39
1740,Haileybury College,3173,Chelsea Heights Day Surgery & Endoscopy,Private,93 Wells Road Kingston VIC 3196,2.68
2167,Haileybury Girls College,3173,Chelsea Heights Day Surgery & Endoscopy,Private,93 Wells Road Kingston VIC 3196,2.69
2167,Haileybury Girls College,3173,"Queen Elizabeth Centre, The",Public,37-53 Thomas Street Thomas VIC 3174,2.44
28,Hallam Primary School,3803,Dandenong Hospital,Public,135 David Street Dandenong VIC 3175,2.76
28,Hallam Primary School,3803,The Hampton Park Women's Health Care Centre,Private,4 Warana Drive Casey VIC 3976,2.13
1506,Hallam Senior Secondary College,3803,The Hampton Park Women's Health Care Centre,Private,4 Warana Drive Casey VIC 3976,2.2
1506,Hallam Senior Secondary College,3803,Dandenong Hospital,Public,135 David Street Dandenong VIC 3175,2.83
489,Halls Gap Primary School,3381,Stawell Regional Health,Public,27-29 Sloane Street Stawell VIC 3380,15.54
489,Halls Gap Primary School,3381,Ballarat Day Procedure Centre,Private,1117-1123 Howitt Street Ballarat VIC 3355,77.55
37,Hamilton (Gray Street) Primary School,3300,Hamilton Base Hospital,Public,20 Foster Street Hamilton VIC 3300,0.71
37,Hamilton (Gray Street) Primary School,3300,St John of God Warrnambool Hospital,Private,136 Botanic Road Warrnambool VIC 3280,49.9
350,Hamilton North Primary School,3300,Hamilton Base Hospital,Public,20 Foster Street Hamilton VIC 3300,2.06
350,Hamilton North Primary School,3300,St John of God Warrnambool Hospital,Private,136 Botanic Road Warrnambool VIC 3280,51.72
1036,Hamilton Parklands School,3300,Hamilton Base Hospital,Public,20 Foster Street Hamilton VIC 3300,0.83
1036,Hamilton Parklands School,3300,St John of God Warrnambool Hospital,Private,136 Botanic Road Warrnambool VIC 3280,50.95
764,Hamlyn Banks Primary School,3215,St John of God Geelong Hospital,Private,80 Myers Street Myers VIC 3220,2.86
764,Hamlyn Banks Primary School,3215,McKellar Centre (Geelong),Public,45-99 Ballarat Road Ballarat VIC 3215,0.5
1209,Hamlyn Views School,3215,McKellar Centre (Geelong),Public,45-99 Ballarat Road Ballarat VIC 3215,0.46
