,School,Nearest Hospital,Hopsital Address,Distance (miles)
488,Newhaven Primary School,Beleura Private Hospital,925 Nepean Highway Nepean VIC 3931,25.93
489,Halls Gap Primary School,Ballarat Day Procedure Centre,1117-1123 Howitt Street Ballarat VIC 3355,77.55
490,Tallygaroopna Primary School,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,8.44
491,Ormond Primary School,Glen Eira Day Surgery,544 Hawthorn Road Hawthorn VIC 3162,0.91
492,Korumburra Primary School,Neerim District Health Service,29-39 Church Road Church VIC 3831,29.33
493,Crib Point Primary School,Beleura Private Hospital,925 Nepean Highway Nepean VIC 3931,12.41
494,Pascoe Vale Primary School,Dorset Rehabilitation Centre,146 Derby Street Moreland VIC 3044,0.78
495,Flowerdale Primary School,Epping Radiation Oncology Centre,230 Cooper Street Whittlesea VIC 3076,27.72
496,Ocean Grove Primary School,The Geelong Clinic,94-102 Townsend Road Townsend VIC 3219,9.0
497,Beulah Primary School,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,117.22
498,Merri Creek Primary School,Brunswick Private Hospital,82 Moreland Road Moreland VIC 3056,1.65
499,Sunshine Primary School,Dr Scope,493 Ballarat Road Brimbank VIC 3020,0.91
500,Tyabb Primary School,Beleura Private Hospital,925 Nepean Highway Nepean VIC 3931,6.81
501,Wales Street Primary School,Panch Day Surgery Centre,84-90 Hotham Street Darebin VIC 3072,1.02
502,Upper Sandy Creek Primary School,Murray Valley Private Hospital,2/69 Nordsvan Drive Wodonga VIC 3690,19.95
503,Spensley Street Primary School,Darebin Endoscopy Services,42 Station Street Darebin VIC 3078,0.85
504,Kew East Primary School,Kew Endoscopy,828 High Street Boroondara VIC 3102,0.74
505,Nichols Point Primary School,Mildura Health Private Hospital,220-228 Thirteenth Street Mildura VIC 3500,3.78
506,Irymple Primary School,Mildura Base Hospital,216-240 Ontario Avenue Mildura VIC 3500,2.98
507,Brunswick East Primary School,Brunswick Private Hospital,82 Moreland Road Moreland VIC 3056,0.76
508,Eagle Point Primary School,Heyfield Hospital Incorporated,14-16 Licola Road Wellington VIC 3858,49.32
509,Yarra Junction Primary School,Marie Stopes International Maroondah,415 Dorset Road Maroondah VIC 3136,17.49
510,Sassafras Primary School,The Melbourne Eastern Private Hospital,153-159 Scoresby Road Knox VIC 3155,4.74
511,Ferny Creek Primary School,The Melbourne Eastern Private Hospital,153-159 Scoresby Road Knox VIC 3155,4.14
512,Toolangi Primary School,Marie Stopes International Maroondah,415 Dorset Road Maroondah VIC 3136,21.39
513,Wonga Park Primary School,Marie Stopes International Maroondah,415 Dorset Road Maroondah VIC 3136,5.46
514,Kinglake West Primary School,Diaverum Diamond Valley Dialysis Clinic,15 Grimshaw Street Banyule VIC 3088,17.56
515,Perseverance Primary School,Peninsula Private Hospital,525 Mcclelland Drive Frankston VIC 3910,17.91
516,Monbulk Primary School,The Melbourne Eastern Private Hospital,153-159 Scoresby Road Knox VIC 3155,7.9
517,Lake Boga Primary School,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,96.13
518,Chum Creek Primary School,Marie Stopes International Maroondah,415 Dorset Road Maroondah VIC 3136,17.8
519,Mount Dandenong Primary School,Marie Stopes International Maroondah,415 Dorset Road Maroondah VIC 3136,4.29
520,Nullawil Primary School,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,87.05
521,Badger Creek Primary School,Marie Stopes International Maroondah,415 Dorset Road Maroondah VIC 3136,16.02
522,Middle Kinglake Primary School,Diaverum Diamond Valley Dialysis Clinic,15 Grimshaw Street Banyule VIC 3088,17.91
523,Point Lonsdale Primary School,The Geelong Clinic,94-102 Townsend Road Townsend VIC 3219,13.94
524,Kongwak Primary School,Neerim District Health Service,29-39 Church Road Church VIC 3831,36.45
525,Clarinda Primary School,Melbourne Endoscopy Monash Day Procedure Centre,277-279 Clayton Road Monash VIC 3168,1.02
526,Chelsea Heights Primary School,Chelsea Heights Day Surgery & Endoscopy,93 Wells Road Kingston VIC 3196,0.8
527,Wallington Primary School,The Geelong Clinic,94-102 Townsend Road Townsend VIC 3219,6.66
528,Tecoma Primary School,The Melbourne Eastern Private Hospital,153-159 Scoresby Road Knox VIC 3155,5.49
529,Torquay P-6 College,Epworth Geelong,1 Epworth Place Epworth VIC 3216,8.81
530,Emerald Primary School,Berwick Surgicentre,22 Langmore Lane Casey VIC 3806,8.67
531,Carrum Primary School,Chelsea Heights Day Surgery & Endoscopy,93 Wells Road Kingston VIC 3196,3.09
532,Nyora Primary School,Neerim District Health Service,29-39 Church Road Church VIC 3831,26.47
533,Exford Primary School,Westpoint Endoscopy Day Hospital,243 Heaths Road Wyndham VIC 3030,11.27
534,Ultima Primary School,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,104.68
535,Mount Waverley Primary School,Waverley Private Hospital,343-357 Blackburn Road Monash VIC 3149,1.2
536,Marlo Primary School,Heyfield Hospital Incorporated,14-16 Licola Road Wellington VIC 3858,96.54
537,Murrumbeena Primary School,Malvern Private Hospital,3-9 Bryson Crescent Stonnington VIC 3145,1.42
538,Wesburn Primary School,Marie Stopes International Maroondah,415 Dorset Road Maroondah VIC 3136,19.81
539,Koorlong Primary School,Mildura Base Hospital,216-240 Ontario Avenue Mildura VIC 3500,7.19
540,Warranwood Primary School,Ringwood Radiation Oncology Centre,36 Frankston-flinders Road Maroondah VIC 3135,2.55
541,Willowmavin Primary School,Goonawarra Day Hospital,11 Dornoch Drive Hume VIC 3429,23.37
542,Olinda Primary School,Marie Stopes International Maroondah,415 Dorset Road Maroondah VIC 3136,5.28
543,Carlisle River Primary School,St John of God Warrnambool Hospital,136 Botanic Road Warrnambool VIC 3280,51.4
544,Spring Gully Primary School,St John of God Bendigo Hospital,133-145 Lily Street Lily VIC 3550,2.43
545,Mallacoota P-12 College,Heyfield Hospital Incorporated,14-16 Licola Road Wellington VIC 3858,165.16
546,Langwarrin Primary School,Peninsula Private Hospital,525 Mcclelland Drive Frankston VIC 3910,1.09
547,Cockatoo Primary School,Berwick Surgicentre,22 Langmore Lane Casey VIC 3806,10.44
548,Tyabb Railway Station Primary School,Peninsula Private Hospital,525 Mcclelland Drive Frankston VIC 3910,7.29
549,Belgrave South Primary School,Casey Day Procedure and Specialist Centre,30-32 Verdun Drive Casey VIC 3805,6.87
550,Sydenham - Hillside Primary School,Sydenham Day Surgery,566 Melton Highway Brimbank VIC 3037,0.63
551,Canterbury Primary School,Linley Clinic,25 Bryson Street Boroondara VIC 3126,0.27
552,The Lake Primary School,Mildura Base Hospital,216-240 Ontario Avenue Mildura VIC 3500,3.18
553,Grey Street Primary School (Traralgon),Maryvale Private Hospital,286 Maryvale Road Latrobe VIC 3840,6.62
554,Brunswick North Primary School,John Fawkner Private Hospital,275 Moreland Road Moreland VIC 3058,0.56
555,Fawkner Primary School,Reservoir Private Hospital Day Procedure Centre,73-75 Pine Street Darebin VIC 3073,1.29
556,Alphington Primary School,Darebin Endoscopy Services,42 Station Street Darebin VIC 3078,0.81
557,Bona Vista Primary School,Neerim District Health Service,29-39 Church Road Church VIC 3831,13.0
558,Banyan Fields Primary School,St John of God Frankston Rehabilitation Hospital,251-265 Cranbourne Road Frankston VIC 3199,4.38
559,Norris Bank Primary School,Victorian Gut Centre,119 Plenty Road Whittlesea VIC 3083,1.06
560,Macclesfield Primary School,The Melbourne Eastern Private Hospital,153-159 Scoresby Road Knox VIC 3155,11.57
561,Black Rock Primary School,Chesterville Day Hospital,28 Chesterville Road Kingston VIC 3192,2.03
562,Mount Evelyn Primary School,Marie Stopes International Maroondah,415 Dorset Road Maroondah VIC 3136,5.61
563,Kilsyth Primary School,Marie Stopes International Maroondah,415 Dorset Road Maroondah VIC 3136,1.51
564,Wonthaggi Primary School,Peninsula Private Hospital,525 Mcclelland Drive Frankston VIC 3910,38.47
565,Spotswood Primary School,Vision Day Surgery Footscray,89 Paisley Street Maribyrnong VIC 3011,2.19
566,Clyde Primary School,Casey Radiation Oncology Centre,2/55 Kangan Drive Casey VIC 3806,6.09
567,Noble Park Primary School,Noble Park Endoscopy Centre,1304 Heatherton Road Heatherton VIC 3174,0.9
568,Deepdene Primary School,Cotham Private Hospital,209 Cotham Road Boroondara VIC 3101,0.71
569,Clifton Creek Primary School,Heyfield Hospital Incorporated,14-16 Licola Road Wellington VIC 3858,51.51
570,Kennington Primary School,St John of God Bendigo Hospital,133-145 Lily Street Lily VIC 3550,2.46
571,Cardinia Primary School,Casey Radiation Oncology Centre,2/55 Kangan Drive Casey VIC 3806,8.13
572,Grahamvale Primary School,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,1.12
573,Irymple South Primary School,Mildura Health Private Hospital,220-228 Thirteenth Street Mildura VIC 3500,5.34
574,Glen Huntly Primary School,Melbourne Day Surgery Centre,961 High Road High VIC 3162,0.96
575,Nanneella Estate Primary School,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,35.44
576,Wantirna Primary School,Knox Private Hospital,262 Mountain Highway Knox VIC 3152,0.79
577,Wonthaggi North Primary School,Peninsula Private Hospital,525 Mcclelland Drive Frankston VIC 3910,38.35
578,Melton South Primary School,Sydenham Day Surgery,566 Melton Highway Brimbank VIC 3037,10.16
579,Chelsea Primary School,Chelsea Heights Day Surgery & Endoscopy,93 Wells Road Kingston VIC 3196,1.61
580,Nowa Nowa Primary School,Heyfield Hospital Incorporated,14-16 Licola Road Wellington VIC 3858,73.63
581,Hampton Primary School,Linacre Private Hospital,12-16 Linacre Road Bayside VIC 3188,0.62
582,Victorian College For The Deaf,Vision Laser St Kilda Road,600-602 Whitehorse Road Whitehorse VIC 3004,0.12
583,Balliang East Primary School,Westpoint Endoscopy Day Hospital,243 Heaths Road Wyndham VIC 3030,15.54
584,Edithvale Primary School,Chelsea Heights Day Surgery & Endoscopy,93 Wells Road Kingston VIC 3196,1.21
585,Orrvale Primary School,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,3.89
586,Penders Grove Primary School,Panch Day Surgery Centre,84-90 Hotham Street Darebin VIC 3072,0.64
587,Underbool Primary School,Mildura Base Hospital,216-240 Ontario Avenue Mildura VIC 3500,70.44
588,Caulfield Junior College,Precision Ascend Rehabilitation Centre,73 Kooyong Road Kooyong VIC 3161,0.24
589,Seaford Primary School,"Southern Eye Centre, Day Surgery & Laser Clinic",42-44 Cranbourne Road Frankston VIC 3199,2.87
590,Wattle Park Primary School,Delmont Private Hospital,298-308 Warrigal Road Boroondara VIC 3146,1.03
591,Murrabit Group School,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,86.78
592,Preston West Primary School,Panch Day Surgery Centre,84-90 Hotham Street Darebin VIC 3072,0.94
593,Thornbury Primary School,Panch Day Surgery Centre,84-90 Hotham Street Darebin VIC 3072,0.85
594,Footscray West Primary School,Western Private Hospital,1-9 Marion Street Maribyrnong VIC 3011,0.58
595,Wandin North Primary School,Marie Stopes International Maroondah,415 Dorset Road Maroondah VIC 3136,7.15
596,Gardenvale Primary School,Glen Eira Day Surgery,544 Hawthorn Road Hawthorn VIC 3162,0.37
597,Beaumaris Primary School,Como Private Hospital,152-156 Como Parade Kingston VIC 3195,1.96
598,Currawa Primary School,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,16.43
599,Cann River P-12 College,Heyfield Hospital Incorporated,14-16 Licola Road Wellington VIC 3858,132.71
600,Altona Primary School,Altona Endoscopy Centre,3-5 Sargood Street Sargood VIC 3018,0.34
601,Devon Meadows Primary School,Peninsula Private Hospital,525 Mcclelland Drive Frankston VIC 3910,7.15
602,Upper Ferntree Gully Primary School,The Melbourne Eastern Private Hospital,153-159 Scoresby Road Knox VIC 3155,3.74
603,Eildon Primary School,Euroa Health Inc,36 Kennedy Street Strathbogie VIC 3666,37.67
604,Bittern Primary School,Beleura Private Hospital,925 Nepean Highway Nepean VIC 3931,10.31
605,Colbinabbin Primary School,Nagambie HealthCare,22 Church Street Strathbogie VIC 3608,23.41
606,Stanhope Primary School,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,24.35
607,Hurstbridge Primary School,Diaverum Diamond Valley Dialysis Clinic,15 Grimshaw Street Banyule VIC 3088,6.9
608,Coburg West Primary School,John Fawkner Private Hospital,275 Moreland Road Moreland VIC 3058,0.78
609,Elwood Primary School,St Kilda Day Hospital,26A Dickens Street Dickens VIC 3184,0.67
610,Mont Albert Primary School,Epworth Eastern,1 Arnold Street Whitehorse VIC 3128,0.93
611,Dhurringile Primary School,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,15.86
612,Strathewen Primary School,Diaverum Diamond Valley Dialysis Clinic,15 Grimshaw Street Banyule VIC 3088,14.06
613,Don Valley Primary School,Marie Stopes International Maroondah,415 Dorset Road Maroondah VIC 3136,16.69
614,Reservoir Primary School,Reservoir Private Hospital Day Procedure Centre,73-75 Pine Street Darebin VIC 3073,0.64
615,Yallourn North Primary School,Maryvale Private Hospital,286 Maryvale Road Latrobe VIC 3840,4.72
616,Toorloo Arm Primary School,Heyfield Hospital Incorporated,14-16 Licola Road Wellington VIC 3858,69.77
617,Girgarre Primary School,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,24.51
618,Yaapeet Primary School,Mildura Base Hospital,216-240 Ontario Avenue Mildura VIC 3500,109.23
619,Gladysdale Primary School,Marie Stopes International Maroondah,415 Dorset Road Maroondah VIC 3136,19.83
620,Mildura West Primary School,Mildura Health Private Hospital,220-228 Thirteenth Street Mildura VIC 3500,0.52
621,Moonee Ponds Primary School,Essendon Private Clinic,665 Wantirna Road Wantirna VIC 3039,0.54
622,Kingsville Primary School,Vision Day Surgery Footscray,89 Paisley Street Maribyrnong VIC 3011,1.4
623,Kallista Primary School,The Melbourne Eastern Private Hospital,153-159 Scoresby Road Knox VIC 3155,5.92
624,Essendon North Primary School,The Essendon Private Hospital,35 Rosehill Road Rosehill VIC 3040,1.09
625,Ascot Vale West Primary School,Northwest Day Hospital,221 Maribyrnong Road Maribyrnong VIC 3032,0.66
626,Hartwell Primary School,Delmont Private Hospital,298-308 Warrigal Road Boroondara VIC 3146,0.83
627,Red Cliffs Primary School,Mildura Base Hospital,216-240 Ontario Avenue Mildura VIC 3500,9.02
628,Wattle Glen Primary School,Diaverum Diamond Valley Dialysis Clinic,15 Grimshaw Street Banyule VIC 3088,4.79
629,Hampton Park Primary School,The Hampton Park Women's Health Care Centre,4 Warana Drive Casey VIC 3976,0.85
630,Colac West Primary School,Epworth Geelong,1 Epworth Place Epworth VIC 3216,40.64
631,Ripponlea Primary School,Masada Private Hospital,24-48 Balaclava Road Balaclava VIC 3183,0.35
632,Noojee Primary School,Neerim District Health Service,29-39 Church Road Church VIC 3831,9.23
633,Montmorency Primary School,Diaverum Diamond Valley Dialysis Clinic,15 Grimshaw Street Banyule VIC 3088,1.15
634,Moriac Primary School,Epworth Geelong,1 Epworth Place Epworth VIC 3216,7.75
635,Ringwood North Primary School,Ringwood Radiation Oncology Centre,36 Frankston-flinders Road Maroondah VIC 3135,1.43
636,Red Cliffs East Primary School,Mildura Health Private Hospital,220-228 Thirteenth Street Mildura VIC 3500,9.18
637,Lloyd Street Primary School,Malvern Private Hospital,3-9 Bryson Crescent Stonnington VIC 3145,0.45
638,Bayswater North Primary School,Marie Stopes International Maroondah,415 Dorset Road Maroondah VIC 3136,1.42
639,Westbreen Primary School,Dorset Rehabilitation Centre,146 Derby Street Moreland VIC 3044,0.81
640,Point Cook Prep - Year 9 College,Wyndham Clinic,242A Hoppers Lane Wyndham VIC 3030,1.44
641,Footscray North Primary School,Western Gastroenterology Services,30 Eleanor Street Maribyrnong VIC 3011,0.31
642,Airly Primary School,Heyfield Hospital Incorporated,14-16 Licola Road Wellington VIC 3858,18.34
643,Camberwell South Primary School,Epworth Rehabilitation Camberwell,888 Toorak Road Boroondara VIC 3124,0.46
644,Parkdale Primary School,Como Private Hospital,152-156 Como Parade Kingston VIC 3195,0.58
645,Hughesdale Primary School,Bentleigh Surgicentre,157 Jasper Road Jasper VIC 3204,2.22
646,Westgarth Primary School,Darebin Endoscopy Services,42 Station Street Darebin VIC 3078,0.73
647,Auburn South Primary School,Epworth Rehabilitation Camberwell,888 Toorak Road Boroondara VIC 3124,0.66
648,Aspendale Primary School,Chelsea Heights Day Surgery & Endoscopy,93 Wells Road Kingston VIC 3196,2.11
649,Eltham North Primary School,Diaverum Diamond Valley Dialysis Clinic,15 Grimshaw Street Banyule VIC 3088,2.4
650,Merrivale Primary School,South West Regional Cancer Centre,26 Ryot Street Warrnambool VIC 3280,0.99
651,Dandenong West Primary School,The Digestive Health Centre,90 David Street David VIC 3175,0.89
652,Yarra Road Primary School,Marie Stopes International Maroondah,415 Dorset Road Maroondah VIC 3136,3.07
653,Aberfeldie Primary School,The Essendon Private Hospital,35 Rosehill Road Rosehill VIC 3040,0.76
654,Manifold Heights Primary School,St John of God Geelong Hospital,80 Myers Street Myers VIC 3220,1.72
655,Nungurner Primary School,Heyfield Hospital Incorporated,14-16 Licola Road Wellington VIC 3858,60.84
656,Dingley Primary School,Windsor Avenue Day Surgery,17 Windsor Avenue Windsor VIC 3171,2.34
657,Cardross Primary School,Mildura Base Hospital,216-240 Ontario Avenue Mildura VIC 3500,7.07
658,Albion Primary School,Dr Scope,493 Ballarat Road Brimbank VIC 3020,0.7
659,Lemnos Primary School,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,2.88
660,Tarwin Lower Primary School,Maryvale Private Hospital,286 Maryvale Road Latrobe VIC 3840,45.01
661,Nepean Special School,"Southern Eye Centre, Day Surgery & Laser Clinic",42-44 Cranbourne Road Frankston VIC 3199,1.92
662,Brunswick South West Primary School,Essendon Private Clinic,665 Wantirna Road Wantirna VIC 3039,1.14
663,Bell Primary School,Panch Day Surgery Centre,84-90 Hotham Street Darebin VIC 3072,0.95
664,Chatham Primary School,Linley Clinic,25 Bryson Street Boroondara VIC 3126,0.89
665,Caulfield South Primary School,Melbourne Day Surgery Centre,961 High Road High VIC 3162,0.51
666,Ashburton Primary School,Glen Iris Private,314 Warrigal Road Boroondara VIC 3146,0.64
667,Bentleigh West Primary School,Bentleigh Surgicentre,157 Jasper Road Jasper VIC 3204,0.79
668,Seaspray Primary School,Heyfield Hospital Incorporated,14-16 Licola Road Wellington VIC 3858,33.61
669,Anglesea Primary School,Epworth Geelong,1 Epworth Place Epworth VIC 3216,15.26
670,Briar Hill Primary School,Diaverum Diamond Valley Dialysis Clinic,15 Grimshaw Street Banyule VIC 3088,0.52
671,Zeerust Primary School,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,5.67
672,McKinnon Primary School,Bentleigh Surgicentre,157 Jasper Road Jasper VIC 3204,1.05
673,Clayton South Primary School,Monash Surgical Private Hospital,252-256 Clayton Road Monash VIC 3168,1.31
674,Ivanhoe East Primary School,Ivanhoe Endoscopy Centre,226 Princes Road Banyule VIC 3079,0.95
675,Cobains Primary School,Heyfield Hospital Incorporated,14-16 Licola Road Wellington VIC 3858,20.18
676,Mildura South Primary School,Mildura Base Hospital,216-240 Ontario Avenue Mildura VIC 3500,2.14
677,Tate Street Primary School Geelong,Geelong Private Hospital,56-58 Bellerine Street Bellerine VIC 3220,1.31
678,Brunswick North West Primary School,John Fawkner Private Hospital,275 Moreland Road Moreland VIC 3058,0.82
679,Katandra West Primary School,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,12.46
680,Fleetwood Primary School,Casey Day Procedure and Specialist Centre,30-32 Verdun Drive Casey VIC 3805,1.03
681,Sandringham East Primary School,Linacre Private Hospital,12-16 Linacre Road Bayside VIC 3188,1.41
682,Seaholme Primary School,Altona Endoscopy Centre,3-5 Sargood Street Sargood VIC 3018,0.73
683,Somers Primary School,Beleura Private Hospital,925 Nepean Highway Nepean VIC 3931,13.09
684,Upwey Primary School,The Melbourne Eastern Private Hospital,153-159 Scoresby Road Knox VIC 3155,4.81
685,Coburg North Primary School,Dorset Rehabilitation Centre,146 Derby Street Moreland VIC 3044,0.93
686,Rosanna Primary School,Heidelberg Endoscopy and Day Surgery Centre,177-179 Northern Road Banyule VIC 3081,0.37
687,Wantirna South Primary School,Knox Private Hospital,262 Mountain Highway Knox VIC 3152,1.71
688,Strathmore Primary School,Dorset Rehabilitation Centre,146 Derby Street Moreland VIC 3044,1.87
689,Balwyn North Primary School,Kew Endoscopy,828 High Street Boroondara VIC 3102,0.82
690,Solway Primary School,Malvern Private Hospital,3-9 Bryson Crescent Stonnington VIC 3145,0.78
691,Wangaratta West Primary School,Wangaratta Private Hospital,134-150 Templeton Street Wangaratta VIC 3677,0.55
692,Mount Beauty Primary School,Murray Valley Private Hospital,2/69 Nordsvan Drive Wodonga VIC 3690,44.58
693,Newlands Primary School,Reservoir Private Hospital Day Procedure Centre,73-75 Pine Street Darebin VIC 3073,1.11
694,Newborough Primary School,Maryvale Private Hospital,286 Maryvale Road Latrobe VIC 3840,7.09
695,Traralgon (Stockdale Road) Primary School,Maryvale Private Hospital,286 Maryvale Road Latrobe VIC 3840,6.0
696,Gowrie Street Primary School Shepparton,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,0.96
697,Tootgarook Primary School,Rosebud SurgiCentre,1537 Pine Road Pine VIC 3940,1.52
698,Moe (South Street) Primary School,Maryvale Private Hospital,286 Maryvale Road Latrobe VIC 3840,8.91
699,Roslyn Primary School,Epworth Geelong,1 Epworth Place Epworth VIC 3216,1.94
700,Newport Gardens Primary School,Altona Endoscopy Centre,3-5 Sargood Street Sargood VIC 3018,2.78
701,St Georges Road Primary School Shepparton,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,2.14
702,Malvern Valley Primary School,Malvern Private Hospital,3-9 Bryson Crescent Stonnington VIC 3145,1.47
703,Newborough East Primary School,Maryvale Private Hospital,286 Maryvale Road Latrobe VIC 3840,7.24
704,Belmore School,Kew Endoscopy,828 High Street Boroondara VIC 3102,1.23
705,Croxton Special School,Brunswick Private Hospital,82 Moreland Road Moreland VIC 3056,1.0
706,Herne Hill Primary School,St John of God Geelong Hospital,80 Myers Street Myers VIC 3220,2.05
707,Frankston East Primary School,Bayside Day Procedure and Specialist Centre,141 Cranbourne Road Frankston VIC 3199,0.16
708,Selby Primary School,The Melbourne Eastern Private Hospital,153-159 Scoresby Road Knox VIC 3155,6.66
709,Reservoir East Primary School,Hyperbaric Health Wound Centre Bundoora,920 Plenty Road Darebin VIC 3083,1.26
710,Tucker Road Bentleigh Primary School,Holmesglen Private Hospital,488-490 South Road Kingston VIC 3189,0.21
711,Katunga Primary School,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,25.0
712,Ballarat North Primary School,Ballarat Surgicentre,5-9 Wood Street Ballarat VIC 3350,0.63
713,Bandiana Primary School,Murray Valley Private Hospital,2/69 Nordsvan Drive Wodonga VIC 3690,3.02
714,Greythorn Primary School,Epworth Eastern,1 Arnold Street Whitehorse VIC 3128,1.58
715,Warragul North Primary School,Neerim District Health Service,29-39 Church Road Church VIC 3831,8.73
716,Horsham West and Haven Primary School,Ballarat Day Procedure Centre,1117-1123 Howitt Street Ballarat VIC 3355,107.45
717,Traralgon (Kosciuszko Street) Primary School,Maryvale Private Hospital,286 Maryvale Road Latrobe VIC 3840,5.37
718,Traralgon (Liddiard Road) Primary School,Maryvale Private Hospital,286 Maryvale Road Latrobe VIC 3840,7.29
719,Eastwood Primary School,Ringwood Private Hospital,36 Mcclelland Road Maroondah VIC 3135,0.64
720,Pascoe Vale South Primary School,John Fawkner Private Hospital,275 Moreland Road Moreland VIC 3058,1.38
721,Lalor Primary School,Epping Radiation Oncology Centre,230 Cooper Street Whittlesea VIC 3076,1.64
722,Reservoir West Primary School,Reservoir Private Hospital Day Procedure Centre,73-75 Pine Street Darebin VIC 3073,0.53
723,Coatesville Primary School,Holmesglen Private Hospital,488-490 South Road Kingston VIC 3189,1.67
724,Old Orchard Primary School,Donvale Rehabilitation Hospital,1119-1121 Doncaster Road Manningham VIC 3109,1.6
725,Huntingdale Primary School,Monash House Private Hospital,271 Clayton Road Monash VIC 3168,1.12
726,Box Hill North Primary School,Epworth Eastern,1 Arnold Street Whitehorse VIC 3128,0.97
727,Ferntree Gully North Primary School,The Melbourne Eastern Private Hospital,153-159 Scoresby Road Knox VIC 3155,2.16
728,Ararat West Primary School,Ballarat Day Procedure Centre,1117-1123 Howitt Street Ballarat VIC 3355,53.32
729,Oak Park Primary School,Dorset Rehabilitation Centre,146 Derby Street Moreland VIC 3044,1.85
730,Dandenong North Primary School,The Digestive Health Centre,90 David Street David VIC 3175,0.11
731,Bairnsdale West Primary School,Heyfield Hospital Incorporated,14-16 Licola Road Wellington VIC 3858,46.26
732,Kalianna Special School,St John of God Bendigo Hospital,133-145 Lily Street Lily VIC 3550,1.86
733,Harrisfield Primary School,Noble Park Endoscopy Centre,1304 Heatherton Road Heatherton VIC 3174,1.02
734,Pascoe Vale North Primary School,Dorset Rehabilitation Centre,146 Derby Street Moreland VIC 3044,0.15
735,Belle Vue Primary School,Kew Endoscopy,828 High Street Boroondara VIC 3102,1.21
736,Oberon Primary School,St John of God Geelong Hospital,80 Myers Street Myers VIC 3220,2.12
737,Moe Primary School,Maryvale Private Hospital,286 Maryvale Road Latrobe VIC 3840,9.52
738,St Albans East Primary School,Fresenius Medical Care Sunshine Dialysis Clinic,147-149 Furlong Road Brimbank VIC 3021,1.33
739,Bourchier Street Primary School Shepparton,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,0.51
740,Swan Hill North Primary School,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,106.43
741,Sunshine Heights Primary School,Dr Scope,493 Ballarat Road Brimbank VIC 3020,1.27
742,Sunshine North Primary School,Dr Scope,493 Ballarat Road Brimbank VIC 3020,0.47
743,Banyule Primary School,Warringal Private Hospital,216 Burgundy Street Banyule VIC 3084,1.25
744,Portland South Primary School,South West Regional Cancer Centre,26 Ryot Street Warrnambool VIC 3280,46.89
745,Rosanna Golf Links Primary School,Heidelberg Endoscopy and Day Surgery Centre,177-179 Northern Road Banyule VIC 3081,0.85
746,Cheltenham East Primary School,Chesterville Day Hospital,28 Chesterville Road Kingston VIC 3192,0.71
747,Cranbourne South Primary School,Peninsula Private Hospital,525 Mcclelland Drive Frankston VIC 3910,4.14
748,Yarrunga Primary School,Wangaratta Private Hospital,134-150 Templeton Street Wangaratta VIC 3677,1.63
749,Ballarat Specialist School,Ballarat Day Procedure Centre,1117-1123 Howitt Street Ballarat VIC 3355,1.11
750,Preston North East Primary School,Hyperbaric Health Wound Centre Bundoora,920 Plenty Road Darebin VIC 3083,1.41
751,Orbost North Primary School,Heyfield Hospital Incorporated,14-16 Licola Road Wellington VIC 3858,94.01
752,Nelson Park School,St John of God Geelong Hospital,80 Myers Street Myers VIC 3220,2.78
753,Craigieburn Primary School,Epping Radiation Oncology Centre,230 Cooper Street Whittlesea VIC 3076,6.23
754,Warrnambool East Primary School,South West Regional Cancer Centre,26 Ryot Street Warrnambool VIC 3280,1.52
755,Colac South West Primary School,Epworth Geelong,1 Epworth Place Epworth VIC 3216,41.16
756,George Street Primary School - Hamilton,St John of God Warrnambool Hospital,136 Botanic Road Warrnambool VIC 3280,49.44
757,Valkstone Primary School,Bentleigh Surgicentre,157 Jasper Road Jasper VIC 3204,0.95
758,Overport Primary School,Frankston Radiation Oncology Centre,26 Frankston-flinders Road Frankston VIC 3199,0.53
759,Wembley Primary School,Vision Day Surgery Footscray,89 Paisley Street Maribyrnong VIC 3011,1.81
760,Rosamond Special School,Dr Scope,493 Ballarat Road Brimbank VIC 3020,1.26
