,School,Nearest Hospital,Hopsital Address,Distance (miles)
532,Nyora Primary School,Gippsland Southern Health Service (Korumburra),65-77 Bridge Street Korumburra VIC 3950,10.57
533,Exford Primary School,Melton Health,195-209 Barries Road Barries VIC 3337,4.05
534,Ultima Primary School,Swan Hill District Health (Swan Hill),50-54 Splatt Street Splatt VIC 3585,18.87
535,Mount Waverley Primary School,Monash Medical Centre (Clayton),246 Clayton Road Clayton VIC 3168,2.71
536,Marlo Primary School,Orbost Regional Health,104 Boundary Road Orbost VIC 3888,7.55
537,Murrumbeena Primary School,Monash Medical Centre (Moorabbin),823-865 Centre Road Centre VIC 3165,2.42
538,Wesburn Primary School,Healesville and District Hospital,377 Maroondah Highway Healesville VIC 3777,10.61
539,Koorlong Primary School,Mildura Base Hospital,216-240 Ontario Avenue Mildura VIC 3500,7.19
540,Warranwood Primary School,Maroondah Hospital,1-15 Davey Drive Davey VIC 3135,2.3
541,Willowmavin Primary School,Kilmore and District Hospital,1 Anderson Road Kilmore VIC 3764,4.83
542,Olinda Primary School,Angliss Hospital,39 Albert Street Albert VIC 3156,4.18
543,Carlisle River Primary School,Colac Area Health,12 Connor Street Colac VIC 3250,18.45
544,Spring Gully Primary School,Bendigo Health (Anne Caudle),100A Barnard Street Bendigo VIC 3550,2.9
545,Mallacoota P-12 College,Orbost Regional Health,104 Boundary Road Orbost VIC 3888,71.36
546,Langwarrin Primary School,Golf Links Road Rehabilitation Centre,125 Market Road Frankston VIC 3199,2.35
547,Cockatoo Primary School,Angliss Hospital,39 Albert Street Albert VIC 3156,10.37
548,Tyabb Railway Station Primary School,Golf Links Road Rehabilitation Centre,125 Market Road Frankston VIC 3199,6.58
549,Belgrave South Primary School,Angliss Hospital,39 Albert Street Albert VIC 3156,3.3
550,Sydenham - Hillside Primary School,Sunshine Hospital,176-190 Furlong Road Furlong VIC 3021,4.96
551,Canterbury Primary School,O'Connell Family Centre,6 Katamatite-nathalia Road Canterbury VIC 3126,1.54
552,The Lake Primary School,Mildura Base Hospital,216-240 Ontario Avenue Mildura VIC 3500,3.18
553,Grey Street Primary School (Traralgon),Latrobe Regional Hospital,10 Village Avenue Traralgon VIC 3844,3.99
554,Brunswick North Primary School,Royal Melbourne Hospital (Royal Park Campus),34-56 Poplar Road Parkville VIC 3052,1.28
555,Fawkner Primary School,Broadmeadows Health Service,35-57 Johnstone Street Jacana VIC 3047,3.99
556,Alphington Primary School,Royal Talbot Rehabilitation Centre,1 Yarra Boulevard Kew VIC 3101,0.6
557,Bona Vista Primary School,West Gippsland Healthcare Group (Warragul),41 Landsborough Street Warragul VIC 3820,3.14
558,Banyan Fields Primary School,Frankston Hospital,2 Hastings Road Frankston VIC 3199,5.03
559,Norris Bank Primary School,Bundoora Extended Care Centre,1231 Plenty Road Bundoora VIC 3083,0.81
560,Macclesfield Primary School,Angliss Hospital,39 Albert Street Albert VIC 3156,8.86
561,Black Rock Primary School,Sandringham & District Memorial Hospital,191-193 Bluff Road Sandringham VIC 3191,0.64
562,Mount Evelyn Primary School,Yarra Ranges Health,25 Market Street Lilydale VIC 3140,3.13
563,Kilsyth Primary School,Maroondah Hospital,1-15 Davey Drive Davey VIC 3135,3.28
564,Wonthaggi Primary School,Bass Coast Health,235 Graham Street Wonthaggi VIC 3995,0.42
565,Spotswood Primary School,Tweddle Child and Family Health Service,49-71 Adelaide Street Footscray VIC 3011,2.3
566,Clyde Primary School,Cranbourne Integrated Care Centre,140-154 Sladen Street Cranbourne VIC 3977,2.83
567,Noble Park Primary School,"Queen Elizabeth Centre, The",37-53 Thomas Street Thomas VIC 3174,0.26
568,Deepdene Primary School,St George's Health Service (Aged Care),283 Cotham Road Kew VIC 3101,0.45
569,Clifton Creek Primary School,Bairnsdale Regional Health Service,122 Day Street Bairnsdale VIC 3875,9.37
570,Kennington Primary School,"Bendigo Hospital, The",62 Lucan Street Bendigo VIC 3550,1.95
571,Cardinia Primary School,Kooweerup Regional Health Service,215 Rossiter Road Rossiter VIC 3981,5.1
572,Grahamvale Primary School,Shepparton Hospital,2-48 Graham Street Shepparton VIC 3630,1.53
573,Irymple South Primary School,Mildura Base Hospital,216-240 Ontario Avenue Mildura VIC 3500,5.37
574,Glen Huntly Primary School,Caulfield General Medical Centre,260 Kooyong Road Caulfield VIC 3162,1.79
575,Nanneella Estate Primary School,Rochester and Elmore District Health Service,1 Pascoe Street Rochester VIC 3561,5.8
576,Wantirna Primary School,Wantirna Health,251 Mountain Highway Wantirna VIC 3152,0.77
577,Wonthaggi North Primary School,Bass Coast Health,235 Graham Street Wonthaggi VIC 3995,1.23
578,Melton South Primary School,Melton Health,195-209 Barries Road Barries VIC 3337,1.75
579,Chelsea Primary School,"Queen Elizabeth Centre, The",37-53 Thomas Street Thomas VIC 3174,6.47
580,Nowa Nowa Primary School,Orbost Regional Health,104 Boundary Road Orbost VIC 3888,20.51
581,Hampton Primary School,Sandringham & District Memorial Hospital,191-193 Bluff Road Sandringham VIC 3191,2.07
582,Victorian College For The Deaf,The Alfred,55 Commercial Road Melbourne VIC 3004,0.29
583,Balliang East Primary School,Djerriwarrh Health Services (Bacchus Marsh),29-35 Grant Street Grant VIC 3340,8.12
584,Edithvale Primary School,"Queen Elizabeth Centre, The",37-53 Thomas Street Thomas VIC 3174,5.74
585,Orrvale Primary School,Shepparton Hospital,2-48 Graham Street Shepparton VIC 3630,3.84
586,Penders Grove Primary School,Heidelberg Repatriation Hospital,300 Waterdale Road Waterdale VIC 3081,1.82
587,Underbool Primary School,Mallee Track Health and Community Service (Ouyen),28 Britt Street Ouyen VIC 3490,29.03
588,Caulfield Junior College,Caulfield General Medical Centre,260 Kooyong Road Caulfield VIC 3162,0.76
589,Seaford Primary School,Frankston Hospital,2 Hastings Road Frankston VIC 3199,3.21
590,Wattle Park Primary School,Box Hill Hospital,8 Arnold Street Arnold VIC 3128,2.29
591,Murrabit Group School,Kerang District Health,13-15 Burgoyne Street Kerang VIC 3579,13.6
592,Preston West Primary School,Heidelberg Repatriation Hospital,300 Waterdale Road Waterdale VIC 3081,3.12
593,Thornbury Primary School,Royal Talbot Rehabilitation Centre,1 Yarra Boulevard Kew VIC 3101,2.77
594,Footscray West Primary School,Ursula Frayne Centre,160 Gordon Street Footscray VIC 3011,0.68
595,Wandin North Primary School,Yarra Ranges Health,25 Market Street Lilydale VIC 3140,3.32
596,Gardenvale Primary School,Calvary Health Care Bethlehem,476-482 Kooyong Road Kooyong VIC 3162,0.55
597,Beaumaris Primary School,Sandringham & District Memorial Hospital,191-193 Bluff Road Sandringham VIC 3191,1.97
598,Currawa Primary School,Shepparton Hospital,2-48 Graham Street Shepparton VIC 3630,16.77
599,Cann River P-12 College,Orbost Regional Health,104 Boundary Road Orbost VIC 3888,38.79
600,Altona Primary School,Williamstown Hospital,76A Railway Crescent Williamstown VIC 3016,3.84
601,Devon Meadows Primary School,Cranbourne Integrated Care Centre,140-154 Sladen Street Cranbourne VIC 3977,3.56
602,Upper Ferntree Gully Primary School,Angliss Hospital,39 Albert Street Albert VIC 3156,0.22
603,Eildon Primary School,Alexandra District Hospital,12 Cooper Street Alexandra VIC 3714,10.85
604,Bittern Primary School,The Mornington Centre,24 Separation Street Mornington VIC 3931,10.36
605,Colbinabbin Primary School,Waranga Memorial Hospital,14 Coyle Street Rushworth VIC 3612,11.5
606,Stanhope Primary School,Kyabram and District Health Services,86-96 Fenaughty Street Kyabram VIC 3620,9.64
607,Hurstbridge Primary School,Bundoora Extended Care Centre,1231 Plenty Road Bundoora VIC 3083,9.05
608,Coburg West Primary School,Royal Melbourne Hospital (Royal Park Campus),34-56 Poplar Road Parkville VIC 3052,2.15
609,Elwood Primary School,Caulfield General Medical Centre,260 Kooyong Road Caulfield VIC 3162,1.55
610,Mont Albert Primary School,Box Hill Hospital,8 Arnold Street Arnold VIC 3128,0.86
611,Dhurringile Primary School,Tatura Public Hospital,64-68 Park Street Tatura VIC 3616,7.21
612,Strathewen Primary School,Yarra Ranges Health,25 Market Street Lilydale VIC 3140,15.09
613,Don Valley Primary School,Healesville and District Hospital,377 Maroondah Highway Healesville VIC 3777,8.45
614,Reservoir Primary School,Bundoora Extended Care Centre,1231 Plenty Road Bundoora VIC 3083,2.73
615,Yallourn North Primary School,Latrobe Regional Hospital,10 Village Avenue Traralgon VIC 3844,7.07
616,Toorloo Arm Primary School,Bairnsdale Regional Health Service,122 Day Street Bairnsdale VIC 3875,24.25
617,Girgarre Primary School,Kyabram and District Health Services,86-96 Fenaughty Street Kyabram VIC 3620,6.87
618,Yaapeet Primary School,West Wimmera Health Service (Rainbow),2 Swinbourne Avenue Rainbow VIC 3424,9.98
619,Gladysdale Primary School,Healesville and District Hospital,377 Maroondah Highway Healesville VIC 3777,13.7
620,Mildura West Primary School,Mildura Base Hospital,216-240 Ontario Avenue Mildura VIC 3500,0.65
621,Moonee Ponds Primary School,Royal Melbourne Hospital (Royal Park Campus),34-56 Poplar Road Parkville VIC 3052,1.35
622,Kingsville Primary School,Tweddle Child and Family Health Service,49-71 Adelaide Street Footscray VIC 3011,1.27
623,Kallista Primary School,Angliss Hospital,39 Albert Street Albert VIC 3156,3.22
624,Essendon North Primary School,Orygen Inpatient Unit,10 Mavis Street Footscray VIC 3011,3.53
625,Ascot Vale West Primary School,Orygen Inpatient Unit,10 Mavis Street Footscray VIC 3011,1.5
626,Hartwell Primary School,O'Connell Family Centre,6 Katamatite-nathalia Road Canterbury VIC 3126,2.52
627,Red Cliffs Primary School,Mildura Base Hospital,216-240 Ontario Avenue Mildura VIC 3500,9.02
628,Wattle Glen Primary School,Bundoora Extended Care Centre,1231 Plenty Road Bundoora VIC 3083,7.32
629,Hampton Park Primary School,Dandenong Hospital,135 David Street Dandenong VIC 3175,4.13
630,Colac West Primary School,Colac Area Health,12 Connor Street Colac VIC 3250,0.42
631,Ripponlea Primary School,Caulfield General Medical Centre,260 Kooyong Road Caulfield VIC 3162,0.83
632,Noojee Primary School,West Gippsland Healthcare Group (Warragul),41 Landsborough Street Warragul VIC 3820,19.65
633,Montmorency Primary School,Bundoora Extended Care Centre,1231 Plenty Road Bundoora VIC 3083,3.83
634,Moriac Primary School,Hesse Rural Health Service (Winchelsea),8 Gosney Street Winchelsea VIC 3241,10.41
635,Ringwood North Primary School,Maroondah Hospital,1-15 Davey Drive Davey VIC 3135,1.65
636,Red Cliffs East Primary School,Mildura Base Hospital,216-240 Ontario Avenue Mildura VIC 3500,9.2
637,Lloyd Street Primary School,Caulfield General Medical Centre,260 Kooyong Road Caulfield VIC 3162,2.26
638,Bayswater North Primary School,Maroondah Hospital,1-15 Davey Drive Davey VIC 3135,2.67
639,Westbreen Primary School,Broadmeadows Health Service,35-57 Johnstone Street Jacana VIC 3047,2.52
640,Point Cook Prep - Year 9 College,Mercy Public Hospitals Inc (Werribee),300-310 Princes Highway Werribee VIC 3030,1.54
641,Footscray North Primary School,Orygen Inpatient Unit,10 Mavis Street Footscray VIC 3011,0.31
642,Airly Primary School,Central Gippsland Health Service (Sale),155 Guthridge Parade Sale VIC 3850,5.96
643,Camberwell South Primary School,O'Connell Family Centre,6 Katamatite-nathalia Road Canterbury VIC 3126,2.18
644,Parkdale Primary School,Kingston Centre,400 Warrigal Road Heatherton VIC 3202,2.65
645,Hughesdale Primary School,Monash Medical Centre (Moorabbin),823-865 Centre Road Centre VIC 3165,1.29
646,Westgarth Primary School,Royal Talbot Rehabilitation Centre,1 Yarra Boulevard Kew VIC 3101,1.33
647,Auburn South Primary School,O'Connell Family Centre,6 Katamatite-nathalia Road Canterbury VIC 3126,1.81
648,Aspendale Primary School,Kingston Centre,400 Warrigal Road Heatherton VIC 3202,4.67
649,Eltham North Primary School,Bundoora Extended Care Centre,1231 Plenty Road Bundoora VIC 3083,5.26
650,Merrivale Primary School,South West Healthcare (Warrnambool),25 Ryot Street Warrnambool VIC 3280,0.92
651,Dandenong West Primary School,Dandenong Hospital,135 David Street Dandenong VIC 3175,1.02
652,Yarra Road Primary School,Maroondah Hospital,1-15 Davey Drive Davey VIC 3135,2.95
653,Aberfeldie Primary School,Orygen Inpatient Unit,10 Mavis Street Footscray VIC 3011,2.42
654,Manifold Heights Primary School,McKellar Centre (Geelong),45-99 Ballarat Road Ballarat VIC 3215,1.16
655,Nungurner Primary School,Bairnsdale Regional Health Service,122 Day Street Bairnsdale VIC 3875,15.5
656,Dingley Primary School,"Queen Elizabeth Centre, The",37-53 Thomas Street Thomas VIC 3174,2.6
657,Cardross Primary School,Mildura Base Hospital,216-240 Ontario Avenue Mildura VIC 3500,7.07
658,Albion Primary School,Sunshine Hospital,176-190 Furlong Road Furlong VIC 3021,1.27
659,Lemnos Primary School,Shepparton Hospital,2-48 Graham Street Shepparton VIC 3630,3.27
660,Tarwin Lower Primary School,Gippsland Southern Health Service (Leongatha),64 Koonwarra Road Leongatha VIC 3953,15.51
661,Nepean Special School,Frankston Hospital,2 Hastings Road Frankston VIC 3199,2.28
662,Brunswick South West Primary School,Royal Melbourne Hospital (Royal Park Campus),34-56 Poplar Road Parkville VIC 3052,0.61
663,Bell Primary School,Royal Melbourne Hospital (Royal Park Campus),34-56 Poplar Road Parkville VIC 3052,3.11
664,Chatham Primary School,Box Hill Hospital,8 Arnold Street Arnold VIC 3128,1.49
665,Caulfield South Primary School,Calvary Health Care Bethlehem,476-482 Kooyong Road Kooyong VIC 3162,0.97
666,Ashburton Primary School,O'Connell Family Centre,6 Katamatite-nathalia Road Canterbury VIC 3126,3.38
667,Bentleigh West Primary School,Calvary Health Care Bethlehem,476-482 Kooyong Road Kooyong VIC 3162,1.8
668,Seaspray Primary School,Central Gippsland Health Service (Sale),155 Guthridge Parade Sale VIC 3850,17.82
669,Anglesea Primary School,Lorne Community Hospital,1 Albert Street Lorne VIC 3232,15.37
670,Briar Hill Primary School,Bundoora Extended Care Centre,1231 Plenty Road Bundoora VIC 3083,3.4
671,Zeerust Primary School,Shepparton Hospital,2-48 Graham Street Shepparton VIC 3630,5.92
672,McKinnon Primary School,Monash Medical Centre (Moorabbin),823-865 Centre Road Centre VIC 3165,1.06
673,Clayton South Primary School,Monash Medical Centre (Clayton),246 Clayton Road Clayton VIC 3168,1.42
674,Ivanhoe East Primary School,Austin Hospital,145 Studley Road Heidelberg VIC 3084,1.25
675,Cobains Primary School,Central Gippsland Health Service (Sale),155 Guthridge Parade Sale VIC 3850,3.62
676,Mildura South Primary School,Mildura Base Hospital,216-240 Ontario Avenue Mildura VIC 3500,2.14
677,Tate Street Primary School Geelong,University Hospital Geelong,272-322 Ryrie Street Geelong VIC 3220,1.27
678,Brunswick North West Primary School,Royal Melbourne Hospital (Royal Park Campus),34-56 Poplar Road Parkville VIC 3052,1.52
679,Katandra West Primary School,Numurkah District Health Service,2 Katamatite-nathalia Road Numurkah VIC 3636,10.84
680,Fleetwood Primary School,Casey Hospital,62-70 Kangan Drive Berwick VIC 3806,1.62
681,Sandringham East Primary School,Sandringham & District Memorial Hospital,191-193 Bluff Road Sandringham VIC 3191,0.36
682,Seaholme Primary School,Williamstown Hospital,76A Railway Crescent Williamstown VIC 3016,2.89
683,Somers Primary School,The Mornington Centre,24 Separation Street Mornington VIC 3931,13.02
684,Upwey Primary School,Angliss Hospital,39 Albert Street Albert VIC 3156,1.09
685,Coburg North Primary School,Royal Melbourne Hospital (Royal Park Campus),34-56 Poplar Road Parkville VIC 3052,2.91
686,Rosanna Primary School,Mercy Hospital for Women,163 Studley Road Heidelberg VIC 3084,1.45
687,Wantirna South Primary School,Wantirna Health,251 Mountain Highway Wantirna VIC 3152,1.79
688,Strathmore Primary School,Royal Melbourne Hospital (Royal Park Campus),34-56 Poplar Road Parkville VIC 3052,3.43
689,Balwyn North Primary School,St George's Health Service (Aged Care),283 Cotham Road Kew VIC 3101,1.56
690,Solway Primary School,Caulfield General Medical Centre,260 Kooyong Road Caulfield VIC 3162,3.13
691,Wangaratta West Primary School,Northeast Health Wangaratta,35-47 Green Street Wangaratta VIC 3677,0.55
692,Mount Beauty Primary School,Alpine Health (Mount Beauty),2-8 Hollonds Street Hollonds VIC 3699,0.29
693,Newlands Primary School,Heidelberg Repatriation Hospital,300 Waterdale Road Waterdale VIC 3081,3.84
694,Newborough Primary School,Latrobe Regional Hospital,10 Village Avenue Traralgon VIC 3844,9.94
695,Traralgon (Stockdale Road) Primary School,Latrobe Regional Hospital,10 Village Avenue Traralgon VIC 3844,3.49
696,Gowrie Street Primary School Shepparton,Shepparton Hospital,2-48 Graham Street Shepparton VIC 3630,0.51
697,Tootgarook Primary School,Rosebud Hospital,1527 Pascoe Road Pascoe VIC 3940,1.57
698,Moe (South Street) Primary School,Latrobe Regional Hospital,10 Village Avenue Traralgon VIC 3844,11.76
699,Roslyn Primary School,University Hospital Geelong,272-322 Ryrie Street Geelong VIC 3220,2.5
700,Newport Gardens Primary School,Williamstown Hospital,76A Railway Crescent Williamstown VIC 3016,1.82
701,St Georges Road Primary School Shepparton,Shepparton Hospital,2-48 Graham Street Shepparton VIC 3630,1.86
702,Malvern Valley Primary School,Monash Medical Centre (Moorabbin),823-865 Centre Road Centre VIC 3165,2.94
703,Newborough East Primary School,Latrobe Regional Hospital,10 Village Avenue Traralgon VIC 3844,10.05
704,Belmore School,O'Connell Family Centre,6 Katamatite-nathalia Road Canterbury VIC 3126,1.34
705,Croxton Special School,Royal Melbourne Hospital (Royal Park Campus),34-56 Poplar Road Parkville VIC 3052,2.33
706,Herne Hill Primary School,McKellar Centre (Geelong),45-99 Ballarat Road Ballarat VIC 3215,0.72
707,Frankston East Primary School,Frankston Hospital,2 Hastings Road Frankston VIC 3199,0.93
708,Selby Primary School,Angliss Hospital,39 Albert Street Albert VIC 3156,3.07
709,Reservoir East Primary School,Bundoora Extended Care Centre,1231 Plenty Road Bundoora VIC 3083,2.23
710,Tucker Road Bentleigh Primary School,Monash Medical Centre (Moorabbin),823-865 Centre Road Centre VIC 3165,1.13
711,Katunga Primary School,Numurkah District Health Service,2 Katamatite-nathalia Road Numurkah VIC 3636,7.03
712,Ballarat North Primary School,Ballarat Hospital,1 Drummond Street Drummond VIC 3350,1.54
713,Bandiana Primary School,Albury Wodonga Health (Wodonga),53-81 Vermont Street Wodonga VIC 3690,3.04
714,Greythorn Primary School,Box Hill Hospital,8 Arnold Street Arnold VIC 3128,1.5
715,Warragul North Primary School,West Gippsland Healthcare Group (Warragul),41 Landsborough Street Warragul VIC 3820,1.83
716,Horsham West and Haven Primary School,Wimmera Base Hospital (Horsham),83 Baillie Street Horsham VIC 3400,1.67
717,Traralgon (Kosciuszko Street) Primary School,Latrobe Regional Hospital,10 Village Avenue Traralgon VIC 3844,2.75
718,Traralgon (Liddiard Road) Primary School,Latrobe Regional Hospital,10 Village Avenue Traralgon VIC 3844,4.52
719,Eastwood Primary School,Maroondah Hospital,1-15 Davey Drive Davey VIC 3135,0.72
720,Pascoe Vale South Primary School,Royal Melbourne Hospital (Royal Park Campus),34-56 Poplar Road Parkville VIC 3052,2.36
721,Lalor Primary School,The Northern Hospital,185 Cooper Street Epping VIC 3076,1.33
722,Reservoir West Primary School,Bundoora Extended Care Centre,1231 Plenty Road Bundoora VIC 3083,3.82
723,Coatesville Primary School,Monash Medical Centre (Moorabbin),823-865 Centre Road Centre VIC 3165,0.56
724,Old Orchard Primary School,Box Hill Hospital,8 Arnold Street Arnold VIC 3128,1.92
725,Huntingdale Primary School,Monash Medical Centre (Clayton),246 Clayton Road Clayton VIC 3168,1.21
726,Box Hill North Primary School,Box Hill Hospital,8 Arnold Street Arnold VIC 3128,0.94
727,Ferntree Gully North Primary School,Angliss Hospital,39 Albert Street Albert VIC 3156,1.82
728,Ararat West Primary School,East Grampians Health Service (Ararat),9-29 Girdlestone Street Ararat VIC 3377,0.63
729,Oak Park Primary School,Broadmeadows Health Service,35-57 Johnstone Street Jacana VIC 3047,2.16
730,Dandenong North Primary School,Dandenong Hospital,135 David Street Dandenong VIC 3175,0.22
731,Bairnsdale West Primary School,Bairnsdale Regional Health Service,122 Day Street Bairnsdale VIC 3875,0.49
732,Kalianna Special School,"Bendigo Hospital, The",62 Lucan Street Bendigo VIC 3550,0.79
733,Harrisfield Primary School,"Queen Elizabeth Centre, The",37-53 Thomas Street Thomas VIC 3174,1.23
734,Pascoe Vale North Primary School,Broadmeadows Health Service,35-57 Johnstone Street Jacana VIC 3047,3.2
735,Belle Vue Primary School,Mercy Hospital for Women,163 Studley Road Heidelberg VIC 3084,2.05
736,Oberon Primary School,University Hospital Geelong,272-322 Ryrie Street Geelong VIC 3220,2.33
737,Moe Primary School,Latrobe Regional Hospital,10 Village Avenue Traralgon VIC 3844,12.39
738,St Albans East Primary School,Sunshine Hospital,176-190 Furlong Road Furlong VIC 3021,1.25
739,Bourchier Street Primary School Shepparton,Shepparton Hospital,2-48 Graham Street Shepparton VIC 3630,0.54
740,Swan Hill North Primary School,Swan Hill District Health (Swan Hill),50-54 Splatt Street Splatt VIC 3585,0.85
741,Sunshine Heights Primary School,Sunshine Hospital,176-190 Furlong Road Furlong VIC 3021,2.23
742,Sunshine North Primary School,Sunshine Hospital,176-190 Furlong Road Furlong VIC 3021,1.43
743,Banyule Primary School,Mercy Hospital for Women,163 Studley Road Heidelberg VIC 3084,1.28
744,Portland South Primary School,Portland District Health,141-151 Bentinck Street Portland VIC 3305,1.68
745,Rosanna Golf Links Primary School,Mercy Hospital for Women,163 Studley Road Heidelberg VIC 3084,1.64
746,Cheltenham East Primary School,Kingston Centre,400 Warrigal Road Heatherton VIC 3202,0.98
747,Cranbourne South Primary School,Cranbourne Integrated Care Centre,140-154 Sladen Street Cranbourne VIC 3977,3.07
748,Yarrunga Primary School,Northeast Health Wangaratta,35-47 Green Street Wangaratta VIC 3677,1.27
749,Ballarat Specialist School,"Queen Elizabeth Centre, The (Ballarat QEC)",102 Ascot Street Ascot VIC 3350,1.5
750,Preston North East Primary School,Heidelberg Repatriation Hospital,300 Waterdale Road Waterdale VIC 3081,1.87
751,Orbost North Primary School,Orbost Regional Health,104 Boundary Road Orbost VIC 3888,0.27
752,Nelson Park School,McKellar Centre (Geelong),45-99 Ballarat Road Ballarat VIC 3215,0.36
753,Craigieburn Primary School,Craigieburn Health Service,274-304 Craigieburn Road Craigieburn VIC 3064,1.21
754,Warrnambool East Primary School,South West Healthcare (Warrnambool),25 Ryot Street Warrnambool VIC 3280,1.59
755,Colac South West Primary School,Colac Area Health,12 Connor Street Colac VIC 3250,0.66
756,George Street Primary School - Hamilton,Hamilton Base Hospital,20 Foster Street Hamilton VIC 3300,0.68
757,Valkstone Primary School,Monash Medical Centre (Moorabbin),823-865 Centre Road Centre VIC 3165,0.55
758,Overport Primary School,Frankston Hospital,2 Hastings Road Frankston VIC 3199,0.67
759,Wembley Primary School,Tweddle Child and Family Health Service,49-71 Adelaide Street Footscray VIC 3011,1.78
760,Rosamond Special School,Orygen Inpatient Unit,10 Mavis Street Footscray VIC 3011,1.91
761,Bonbeach Primary School,Frankston Hospital,2 Hastings Road Frankston VIC 3199,5.83
762,Heatherhill Primary School,"Queen Elizabeth Centre, The",37-53 Thomas Street Thomas VIC 3174,1.28
763,Beaumaris North Primary School,Sandringham & District Memorial Hospital,191-193 Bluff Road Sandringham VIC 3191,1.35
764,Hamlyn Banks Primary School,McKellar Centre (Geelong),45-99 Ballarat Road Ballarat VIC 3215,0.5
765,Yarraman Oaks Primary School,"Queen Elizabeth Centre, The",37-53 Thomas Street Thomas VIC 3174,0.73
766,Mount Pleasant Road Nunawading Primary School,"Peter James Centre, The",321-345 Burwood Highway Burwood VIC 3131,1.86
767,Glenroy West Primary School,Broadmeadows Health Service,35-57 Johnstone Street Jacana VIC 3047,1.46
768,Dandenong South Primary School,Dandenong Hospital,135 David Street Dandenong VIC 3175,1.52
769,St Albans North Primary School,Sunshine Hospital,176-190 Furlong Road Furlong VIC 3021,2.09
770,Avondale Primary School,Orygen Inpatient Unit,10 Mavis Street Footscray VIC 3011,2.22
771,Beverley Hills Primary School,Box Hill Hospital,8 Arnold Street Arnold VIC 3128,2.58
772,Wodonga West Primary School,Albury Wodonga Health (Wodonga),53-81 Vermont Street Wodonga VIC 3690,0.67
773,Frankston Heights Primary School,Golf Links Road Rehabilitation Centre,125 Market Road Frankston VIC 3199,0.77
774,Kerrimuir Primary School,Box Hill Hospital,8 Arnold Street Arnold VIC 3128,1.16
775,Heathmont East Primary School,Maroondah Hospital,1-15 Davey Drive Davey VIC 3135,1.62
776,Strathmore North Primary School,Broadmeadows Health Service,35-57 Johnstone Street Jacana VIC 3047,2.81
777,Oakleigh South Primary School,Monash Medical Centre (Clayton),246 Clayton Road Clayton VIC 3168,1.53
778,Thomastown East Primary School,The Northern Hospital,185 Cooper Street Epping VIC 3076,1.99
779,Mount Waverley Heights Primary School,Monash Medical Centre (Clayton),246 Clayton Road Clayton VIC 3168,2.25
780,East Bentleigh Primary School,Monash Medical Centre (Moorabbin),823-865 Centre Road Centre VIC 3165,0.99
781,Watsonia Primary School,Bundoora Extended Care Centre,1231 Plenty Road Bundoora VIC 3083,1.81
782,Parktone Primary School,Kingston Centre,400 Warrigal Road Heatherton VIC 3202,2.3
783,Antonio Park Primary School,Wantirna Health,251 Mountain Highway Wantirna VIC 3152,2.47
784,Kingsbury Primary School,Bundoora Extended Care Centre,1231 Plenty Road Bundoora VIC 3083,1.41
785,Katandra School,Calvary Health Care Bethlehem,476-482 Kooyong Road Kooyong VIC 3162,1.55
786,Ardeer Primary School,Sunshine Hospital,176-190 Furlong Road Furlong VIC 3021,1.69
787,Westall Primary School,Monash Medical Centre (Clayton),246 Clayton Road Clayton VIC 3168,1.66
788,Tullamarine Primary School,Broadmeadows Health Service,35-57 Johnstone Street Jacana VIC 3047,2.23
789,Guthridge Primary School,Central Gippsland Health Service (Sale),155 Guthridge Parade Sale VIC 3850,0.86
790,Park Orchards Primary School,Maroondah Hospital,1-15 Davey Drive Davey VIC 3135,2.87
791,Albion North Primary School,Sunshine Hospital,176-190 Furlong Road Furlong VIC 3021,0.41
792,Blackburn Lake Primary School,"Peter James Centre, The",321-345 Burwood Highway Burwood VIC 3131,1.71
793,Laburnum Primary School,Box Hill Hospital,8 Arnold Street Arnold VIC 3128,1.46
794,Rollins Primary School,McKellar Centre (Geelong),45-99 Ballarat Road Ballarat VIC 3215,1.35
795,Heatherwood School,Box Hill Hospital,8 Arnold Street Arnold VIC 3128,3.4
796,Bellaire Primary School,University Hospital Geelong,272-322 Ryrie Street Geelong VIC 3220,3.16
797,Pinewood Primary School,Monash Medical Centre (Clayton),246 Clayton Road Clayton VIC 3168,2.36
798,Broadmeadows Primary School,Broadmeadows Health Service,35-57 Johnstone Street Jacana VIC 3047,0.87
799,Moomba Park Primary School,Broadmeadows Health Service,35-57 Johnstone Street Jacana VIC 3047,3.06
800,Keilor Heights Primary School,Sunshine Hospital,176-190 Furlong Road Furlong VIC 3021,3.17
801,Ainslie Parklands Primary School,Maroondah Hospital,1-15 Davey Drive Davey VIC 3135,1.03
802,Parkmore Primary School,"Peter James Centre, The",321-345 Burwood Highway Burwood VIC 3131,0.93
803,Lara Primary School,McKellar Centre (Geelong),45-99 Ballarat Road Ballarat VIC 3215,8.21
804,Mullum Primary School,Maroondah Hospital,1-15 Davey Drive Davey VIC 3135,1.08
805,Cranbourne Park Primary School,Cranbourne Integrated Care Centre,140-154 Sladen Street Cranbourne VIC 3977,0.65
806,Viewbank Primary School,Mercy Hospital for Women,163 Studley Road Heidelberg VIC 3084,2.18
807,Greenhills Primary School,Bundoora Extended Care Centre,1231 Plenty Road Bundoora VIC 3083,3.55
808,Upwey South Primary School,Angliss Hospital,39 Albert Street Albert VIC 3156,1.23
809,Simpson Primary School,Timboon and District Healthcare Service,21 Hospital Road Timboon VIC 3268,12.57
