,Aged Care,Nearest Hospital,Hopsital Address,Distance (miles)
268,Boronia Residential Aged Care,The Melbourne Eastern Private Hospital,153-159 Scoresby Road Knox VIC 3155,0.92
269,Menarock LIFE Upper Ferntree Gully (Sherbrooke),The Melbourne Eastern Private Hospital,153-159 Scoresby Road Knox VIC 3155,3.33
270,Glengollan Village,The Melbourne Eastern Private Hospital,153-159 Scoresby Road Knox VIC 3155,2.06
271,Edward Street Nursing Home,The Melbourne Eastern Private Hospital,153-159 Scoresby Road Knox VIC 3155,4.05
272,Isomer Retirement Home,The Valley Private Hospital,535-559 Police Road Monash VIC 3170,3.25
273,VMCH Willowbrooke,The Melbourne Eastern Private Hospital,153-159 Scoresby Road Knox VIC 3155,3.41
274,BlueCross Sheridan Hall Caulfield,Melbourne Day Surgery Centre,961 High Road High VIC 3162,0.69
275,Benetas Lovell House,Melbourne MediBrain and MediSleep Centre,631 Inkerman Road Inkerman VIC 3161,0.33
276,Emmy Monash Aged Care,Melbourne MediBrain and MediSleep Centre,631 Inkerman Road Inkerman VIC 3161,0.43
277,Arcare Caulfield,Precision Ascend Rehabilitation Centre,73 Kooyong Road Kooyong VIC 3161,0.12
278,mecwacare Jubilee House,Melbourne Day Surgery Centre,961 High Road High VIC 3162,0.69
279,Bupa Caulfield,,,
280,HammondCare - Caulfield Village,Cabrini Hopetoun Rehabilitation,2-6 Hopetoun Street Hopetoun VIC 3185,0.4
281,HammondCare - The Glens,Cabrini Health Elsternwick Rehabilitation,494-498 High Road High VIC 3185,0.54
282,Melbourne Hebrew Memorial Nursing Home (Gary Smorgon House) - Jewish Care (VIC),Melbourne Day Surgery Centre,961 High Road High VIC 3162,0.08
283,Rosstown Community,,,
284,Arcare Carnegie,Melbourne Day Surgery Centre,961 High Road High VIC 3162,1.62
285,Spurway Community,Malvern Private Hospital,3-9 Bryson Crescent Stonnington VIC 3145,1.86
286,Brimlea Aged Care,Malvern Private Hospital,3-9 Bryson Crescent Stonnington VIC 3145,1.65
287,Warrawee Community,Holmesglen Private Hospital,488-490 South Road Kingston VIC 3189,1.45
288,Mooraleigh Hostel,Holmesglen Private Hospital,488-490 South Road Kingston VIC 3189,1.7
289,Oaklea Hall Aged Care,,,
290,Estia Health Oakleigh East,Sir John Monash Private Hospital,212-220 Clayton Road Monash VIC 3168,1.5
291,Churches of Christ Care Oak Towers Aged Care Service,Sir John Monash Private Hospital,212-220 Clayton Road Monash VIC 3168,2.17
292,BlueCross Oakleigh,Melbourne Endoscopy Monash Day Procedure Centre,277-279 Clayton Road Monash VIC 3168,1.92
293,Bupa Clayton,Monash Surgical Private Hospital,252-256 Clayton Road Monash VIC 3168,0.46
294,VMCH Corpus Christi,Sir John Monash Private Hospital,212-220 Clayton Road Monash VIC 3168,0.33
295,The Alexander Aged Care Centre,Sir John Monash Private Hospital,212-220 Clayton Road Monash VIC 3168,1.1
296,Clarinda Manor Aged Care,Monash Surgical Private Hospital,252-256 Clayton Road Monash VIC 3168,1.03
297,Fronditha Care Clayton,Monash Surgical Private Hospital,252-256 Clayton Road Monash VIC 3168,1.35
298,BlueCross Hansworth,The Valley Private Hospital,535-559 Police Road Monash VIC 3170,2.0
299,Royal Freemasons Monash Gardens,The Victorian Rehabilitation Centre,499 Springvale Road Monash VIC 3150,1.86
300,VMCH John R Hannah,Springvale Endoscopy Centre and Day Hospital,20 Balmoral Avenue Balmoral VIC 3171,1.47
301,Lexington Gardens Aged Care,Springvale Endoscopy Centre and Day Hospital,20 Balmoral Avenue Balmoral VIC 3171,0.51
302,Springvale Private Nursing Home,Springvale Endoscopy Centre and Day Hospital,20 Balmoral Avenue Balmoral VIC 3171,0.18
303,Greenwood Manor (Outlet),Windsor Avenue Day Surgery,17 Windsor Avenue Windsor VIC 3171,2.76
304,Mercy Place Springvale,Windsor Avenue Day Surgery,17 Windsor Avenue Windsor VIC 3171,1.82
305,Kingston Gardens,,,
306,Arcare Keysborough,Chelsea Heights Day Surgery & Endoscopy,93 Wells Road Kingston VIC 3196,2.68
307,Estia Health Keysborough,Noble Park Endoscopy Centre,1304 Heatherton Road Heatherton VIC 3174,2.23
308,Noble Gardens Residential Aged Care,Noble Park Endoscopy Centre,1304 Heatherton Road Heatherton VIC 3174,0.71
309,Yarraman Nursing Home,Noble Park Endoscopy Centre,1304 Heatherton Road Heatherton VIC 3174,0.83
310,Royal Freemasons Darvall Lodge,Noble Park Endoscopy Centre,1304 Heatherton Road Heatherton VIC 3174,1.37
311,Uniting AgeWell Noble Park Community,Noble Park Endoscopy Centre,1304 Heatherton Road Heatherton VIC 3174,1.2
312,Belvedere Aged Care,Noble Park Endoscopy Centre,1304 Heatherton Road Heatherton VIC 3174,0.37
313,Noble Manor Residential Aged Care,Noble Park Endoscopy Centre,1304 Heatherton Road Heatherton VIC 3174,0.87
314,Estia Health Dandenong,The Digestive Health Centre,90 David Street David VIC 3175,0.34
315,Mercy Place Dandenong,The Digestive Health Centre,90 David Street David VIC 3175,0.79
316,Outlook Gardens Aged Care,The Valley Private Hospital,535-559 Police Road Monash VIC 3170,0.35
317,Regis Dandenong North,South Eastern Private Hospital,313-329 Princes Highway Princes VIC 3174,0.94
318,Wintringham Eunice Seddon Home,The Digestive Health Centre,90 David Street David VIC 3175,0.77
319,Scottvale Aged Care,The Digestive Health Centre,90 David Street David VIC 3175,0.84
320,Chestnut Gardens Aged Care Home,Corymbia House Day Hospital,92-94 David Street David VIC 3175,1.52
321,Homestyle Rowville Manor,The Valley Private Hospital,535-559 Police Road Monash VIC 3170,2.15
322,Estia Health Knoxfield,The Melbourne Eastern Private Hospital,153-159 Scoresby Road Knox VIC 3155,1.52
323,Estia Health Prahran,Windsor Private Hospital,20-22 Melton  Stonnington VIC 3181,0.28
324,Bupa Windsor,Vision Laser St Kilda Road,600-602 Whitehorse Road Whitehorse VIC 3004,0.27
325,mecwacare Trescowthick Centre,The Victoria Clinic,320-324 Malvern Road Stonnington VIC 3181,0.45
326,Chomley House,Cabrini Prahran,646-646A High Street Stonnington VIC 3181,0.24
327,Central Park,Vision Laser St Kilda Road,600-602 Whitehorse Road Whitehorse VIC 3004,0.21
328,Sacred Heart Community,St Kilda Day Hospital,26A Dickens Street Dickens VIC 3184,0.6
329,Graceland Manor,,,
330,Victoria By The Park,Cabrini Health Elsternwick Rehabilitation,494-498 High Road High VIC 3185,0.12
331,BlueCross Sheridan Hall Brighton,Mandometer Brighton,412-414 Bay Street Bayside VIC 3186,0.3
332,Arcare Brighton,Mandometer Brighton,412-414 Bay Street Bayside VIC 3186,0.56
333,"Vasey RSL Care, Brighton",Mandometer Brighton,412-414 Bay Street Bayside VIC 3186,0.77
334,Elanora Residential Care,Brighton Plastic Surgery Centre,206 New Street Bayside VIC 3186,1.12
335,Regis Brighton,Mandometer Brighton,412-414 Bay Street Bayside VIC 3186,0.18
336,Montclaire Aged Care,Mandometer Brighton,412-414 Bay Street Bayside VIC 3186,0.37
337,Princeton View,Epworth Rehabilitation Brighton,85-93 Wilson Street Bayside VIC 3186,0.98
338,"Vasey RSL Care, Brighton East",,,
339,Mayflower Brighton - Residential Aged Care,Mandometer Brighton,412-414 Bay Street Bayside VIC 3186,0.83
340,Menarock LIFE Highett (Rosehill),Bayside Endoscopy Day Hospital,437-441 South Road South VIC 3204,1.39
341,Abberfield Aged Care Facility,Linacre Private Hospital,12-16 Linacre Road Bayside VIC 3188,1.31
342,Mercy Place Fernhill,Linacre Private Hospital,12-16 Linacre Road Bayside VIC 3188,0.89
343,BlueCross Karinya Grove,Chesterville Day Hospital,28 Chesterville Road Kingston VIC 3192,1.57
344,Regis Sandringham,Linacre Private Hospital,12-16 Linacre Road Bayside VIC 3188,0.94
345,Fairway Bayside Aged Care,Linacre Private Hospital,12-16 Linacre Road Bayside VIC 3188,1.46
346,Cheltenham Manor,Chesterville Day Hospital,28 Chesterville Road Kingston VIC 3192,0.29
347,Allambee Nursing Home Kingston Centre,Chesterville Day Hospital,28 Chesterville Road Kingston VIC 3192,1.04
348,Arcare Cheltenham,Chesterville Day Hospital,28 Chesterville Road Kingston VIC 3192,0.37
349,BlueCross Autumdale,Chesterville Day Hospital,28 Chesterville Road Kingston VIC 3192,1.28
350,Mercy Place Corben,Como Private Hospital,152-156 Como Parade Kingston VIC 3195,0.71
351,Avonlea Aged Care,Chesterville Day Hospital,28 Chesterville Road Kingston VIC 3192,1.17
352,Mercy Place Mordialloc,Como Private Hospital,152-156 Como Parade Kingston VIC 3195,0.71
353,Parkdale Aged Care,Como Private Hospital,152-156 Como Parade Kingston VIC 3195,0.4
354,BlueCross Elly Kay,Como Private Hospital,152-156 Como Parade Kingston VIC 3195,1.13
355,Mercy Place Nixon,Como Private Hospital,152-156 Como Parade Kingston VIC 3195,1.52
356,Bayside Aged Care,Como Private Hospital,152-156 Como Parade Kingston VIC 3195,1.25
357,Bonbeach Residential Care,Chelsea Heights Day Surgery & Endoscopy,93 Wells Road Kingston VIC 3196,2.45
358,Mercy Place Northcliffe,Chelsea Heights Day Surgery & Endoscopy,93 Wells Road Kingston VIC 3196,1.32
359,BlueCross Gardenia,Chelsea Heights Day Surgery & Endoscopy,93 Wells Road Kingston VIC 3196,1.77
360,Bupa Edithvale,Chelsea Heights Day Surgery & Endoscopy,93 Wells Road Kingston VIC 3196,1.43
361,Lifeview Argyle Court,Chelsea Heights Day Surgery & Endoscopy,93 Wells Road Kingston VIC 3196,1.77
362,Bupa Bonbeach,Chelsea Heights Day Surgery & Endoscopy,93 Wells Road Kingston VIC 3196,1.32
363,BlueCross Chelsea Manor,Chelsea Heights Day Surgery & Endoscopy,93 Wells Road Kingston VIC 3196,1.28
364,Baptcare Peninsula View Community,Frankston Radiation Oncology Centre,26 Frankston-flinders Road Frankston VIC 3199,0.85
365,"Vasey RSL Care, Frankston South",Frankston Radiation Oncology Centre,26 Frankston-flinders Road Frankston VIC 3199,0.65
366,Baptist Village Baxter Lodge,St John of God Frankston Rehabilitation Hospital,251-265 Cranbourne Road Frankston VIC 3199,1.66
367,Regis Frankston,Bayside Day Procedure and Specialist Centre,141 Cranbourne Road Frankston VIC 3199,0.07
368,Benetas St Paul's Terrace,Frankston Radiation Oncology Centre,26 Frankston-flinders Road Frankston VIC 3199,0.63
369,Frankston Nursing Home (Meracare),"Southern Eye Centre, Day Surgery & Laser Clinic",42-44 Cranbourne Road Frankston VIC 3199,0.7
370,Forest Lodge Residential Aged Care,Bayside Day Procedure and Specialist Centre,141 Cranbourne Road Frankston VIC 3199,1.7
371,MiCare - Avondrust Lodge,Bayside Day Procedure and Specialist Centre,141 Cranbourne Road Frankston VIC 3199,2.89
372,Bayview Aged Care Facility,Bayside Day Procedure and Specialist Centre,141 Cranbourne Road Frankston VIC 3199,2.89
373,Sandhurst Aged Care,Chelsea Heights Day Surgery & Endoscopy,93 Wells Road Kingston VIC 3196,4.67
374,Carrum Downs Aged Care,Bayside Day Procedure and Specialist Centre,141 Cranbourne Road Frankston VIC 3199,4.0
375,Carrum Downs Nursing Home (Meracare),Bayside Day Procedure and Specialist Centre,141 Cranbourne Road Frankston VIC 3199,2.89
376,Estia Health Bentleigh,Bentleigh Surgicentre,157 Jasper Road Jasper VIC 3204,0.89
377,Claremont Terrace,,,
378,Emerald Hill Residence,Albert Road Clinic,31-33 Albert Road Albert VIC 3004,0.52
379,Napier Street Aged Care Services,Albert Road Clinic,31-33 Albert Road Albert VIC 3004,0.52
380,South Port Community Residential Home,Melbourne Endoscopy,517 High Road Melbourne VIC 3004,1.2
381,Wintringham Hostel - Port Melbourne,Specialist Surgicentre Docklands,22 Rakaia Way Melbourne VIC 3008,1.61
382,Costa House - Karingal St Laurence (genU),Specialist Surgicentre Geelong,200 Malop Street Malop VIC 3220,8.78
383,Vonlea Manor,Specialist Surgicentre Geelong,200 Malop Street Malop VIC 3220,3.89
384,Baptcare Coasthaven Community,Specialist Surgicentre Geelong,200 Malop Street Malop VIC 3220,4.18
385,McKellar Centre,St John of God Geelong Hospital,80 Myers Street Myers VIC 3220,1.63
386,mecwacare Elstoft House,St John of God Geelong Hospital,80 Myers Street Myers VIC 3220,2.87
387,MACS - Home Care Services,St John of God Geelong Hospital,80 Myers Street Myers VIC 3220,1.79
388,Homestyle Belmont Grange,Epworth Geelong,1 Epworth Place Epworth VIC 3216,2.03
389,Mercy Place Rice Village,The Geelong Clinic,94-102 Townsend Road Townsend VIC 3219,2.14
390,Bupa Barrabool,St John of God Geelong Hospital,80 Myers Street Myers VIC 3220,1.96
391,Estia Health Grovedale,Epworth Geelong,1 Epworth Place Epworth VIC 3216,2.11
392,LUSON The Vue,Epworth Geelong,1 Epworth Place Epworth VIC 3216,2.2
393,Balmoral Grove,Epworth Geelong,1 Epworth Place Epworth VIC 3216,2.2
394,The Belmont Residential Aged Care,Epworth Geelong,1 Epworth Place Epworth VIC 3216,1.83
395,"Uniting AgeWell Kalkee Community, Murray",St John of God Geelong Hospital,80 Myers Street Myers VIC 3220,2.11
396,Opal South Valley,Epworth Geelong,1 Epworth Place Epworth VIC 3216,1.13
397,"Uniting AgeWell Kalkee Community, Nangatta",Epworth Geelong,1 Epworth Place Epworth VIC 3216,1.83
398,Alan David Lodge,Epworth Geelong,1 Epworth Place Epworth VIC 3216,2.05
399,Warralily Gardens,Epworth Geelong,1 Epworth Place Epworth VIC 3216,2.99
400,Tannoch Brae Aged Care,The Geelong Clinic,94-102 Townsend Road Townsend VIC 3219,0.26
401,Luson - Eden Park,The Geelong Clinic,94-102 Townsend Road Townsend VIC 3219,0.4
402,Roccoco Aged Care Facility,The Geelong Clinic,94-102 Townsend Road Townsend VIC 3219,0.53
403,Drysdale Grove,The Geelong Clinic,94-102 Townsend Road Townsend VIC 3219,9.19
404,Homestead Estate,The Geelong Clinic,94-102 Townsend Road Townsend VIC 3219,8.23
405,Arcare Portarlingon,The Geelong Clinic,94-102 Townsend Road Townsend VIC 3219,15.09
406,Homestyle Kensington Grange,The Geelong Clinic,94-102 Townsend Road Townsend VIC 3219,3.87
407,Bupa Bellarine Lakes,The Geelong Clinic,94-102 Townsend Road Townsend VIC 3219,1.83
408,Estia Health Leopold,The Geelong Clinic,94-102 Townsend Road Townsend VIC 3219,4.16
409,Arcare Point Lonsdale,The Geelong Clinic,94-102 Townsend Road Townsend VIC 3219,13.21
410,Homestyle Sea Views Manor,The Geelong Clinic,94-102 Townsend Road Townsend VIC 3219,9.93
411,Ocean Mist Aged Care,Epworth Geelong,1 Epworth Place Epworth VIC 3216,8.63
412,VMCH Star Of The Sea,Epworth Geelong,1 Epworth Place Epworth VIC 3216,8.78
413,Elouera Aged Care Centre,Epworth Geelong,1 Epworth Place Epworth VIC 3216,9.04
414,Anglesea Residential Aged Care Facility,Epworth Geelong,1 Epworth Place Epworth VIC 3216,15.98
415,Great Ocean Road Health - Lorne Nursing Home,Epworth Geelong,1 Epworth Place Epworth VIC 3216,30.01
416,Residential Aged Care - Multipurpose Service,Epworth Geelong,1 Epworth Place Epworth VIC 3216,51.94
417,Hesse Rural Health Nursing Home,Epworth Geelong,1 Epworth Place Epworth VIC 3216,17.8
418,Corangamarah,Epworth Geelong,1 Epworth Place Epworth VIC 3216,40.48
419,Barongarook Gardens,Epworth Geelong,1 Epworth Place Epworth VIC 3216,40.47
420,Mercy Place Colac,Epworth Geelong,1 Epworth Place Epworth VIC 3216,40.02
421,Merindah Lodge Aged Care Facility,St John of God Warrnambool Hospital,136 Botanic Road Warrnambool VIC 3280,37.0
422,Sunnyside House Inc,St John of God Warrnambool Hospital,136 Botanic Road Warrnambool VIC 3280,37.68
423,Mount View Aged Care Facility,St John of God Warrnambool Hospital,136 Botanic Road Warrnambool VIC 3280,24.74
424,May Noonan Centre by Lyndoch Living,St John of God Warrnambool Hospital,136 Botanic Road Warrnambool VIC 3280,25.3
425,Heytesbury Lodge & Lovely Banks Residential Care,St John of God Warrnambool Hospital,136 Botanic Road Warrnambool VIC 3280,32.61
426,Timboon & District Healthcare Service,St John of God Warrnambool Hospital,136 Botanic Road Warrnambool VIC 3280,28.16
427,Aberlea,St John of God Warrnambool Hospital,136 Botanic Road Warrnambool VIC 3280,26.89
428,Opal Gillin Park,St John of God Warrnambool Hospital,136 Botanic Road Warrnambool VIC 3280,2.85
429,Opal Warrnambool,St John of God Warrnambool Hospital,136 Botanic Road Warrnambool VIC 3280,2.39
430,Lyndoch Living - Residential Care,South West Regional Cancer Centre,26 Ryot Street Warrnambool VIC 3280,1.99
431,Mercy Place Warrnambool,St John of God Warrnambool Hospital,136 Botanic Road Warrnambool VIC 3280,0.35
432,Moyne Health Services-Belfast House,South West Regional Cancer Centre,26 Ryot Street Warrnambool VIC 3280,12.99
433,Moyne Health Services-Moyneyana House,South West Regional Cancer Centre,26 Ryot Street Warrnambool VIC 3280,13.45
434,Penshurst Nursing Home,St John of God Warrnambool Hospital,136 Botanic Road Warrnambool VIC 3280,35.69
435,Kolor Lodge Hostel,St John of God Warrnambool Hospital,136 Botanic Road Warrnambool VIC 3280,35.69
436,Grange Residential Care Services,St John of God Warrnambool Hospital,136 Botanic Road Warrnambool VIC 3280,50.02
437,The Birches,St John of God Warrnambool Hospital,136 Botanic Road Warrnambool VIC 3280,50.2
438,Eventide Lutheran Homes,St John of God Warrnambool Hospital,136 Botanic Road Warrnambool VIC 3280,49.75
439,Heywood Nursing Home,South West Regional Cancer Centre,26 Ryot Street Warrnambool VIC 3280,49.16
440,Bupa Portland,South West Regional Cancer Centre,26 Ryot Street Warrnambool VIC 3280,46.76
441,Harbourside Lodge,South West Regional Cancer Centre,26 Ryot Street Warrnambool VIC 3280,47.2
442,Casterton Memorial Hospital Nursing Home - Glenelg House,St John of God Warrnambool Hospital,136 Botanic Road Warrnambool VIC 3280,80.13
443,Edgarley Home,St John of God Warrnambool Hospital,136 Botanic Road Warrnambool VIC 3280,79.84
444,Wannon Court Hostel,St John of God Warrnambool Hospital,136 Botanic Road Warrnambool VIC 3280,68.4
445,Valley View Nursing Home,St John of God Warrnambool Hospital,136 Botanic Road Warrnambool VIC 3280,68.35
446,The Lakes Hostel,St John of God Warrnambool Hospital,136 Botanic Road Warrnambool VIC 3280,112.7
447,Kowree Nursing Home Unit,St John of God Warrnambool Hospital,136 Botanic Road Warrnambool VIC 3280,112.61
448,Estia Health Bannockburn,St John of God Geelong Hospital,80 Myers Street Myers VIC 3220,12.48
449,Willowbrae - Melton,Sydenham Day Surgery,566 Melton Highway Brimbank VIC 3037,8.93
450,Sutton Park Aged Care,Sydenham Day Surgery,566 Melton Highway Brimbank VIC 3037,10.32
451,Estia Health Melton South,Sydenham Day Surgery,566 Melton Highway Brimbank VIC 3037,10.52
452,VMCH Providence,Ballan District Health & Care,33 Cowie Street Moorabool VIC 3342,12.75
453,Royal Freemasons Bacchus Marsh,Ballan District Health & Care,33 Cowie Street Moorabool VIC 3342,12.43
454,Grant Lodge Aged Care Facility,Ballan District Health & Care,33 Cowie Street Moorabool VIC 3342,12.7
455,Ballan Hostel,Ballan District Health & Care,33 Cowie Street Moorabool VIC 3342,0.17
456,Ballan Nursing Home,Ballan District Health & Care,33 Cowie Street Moorabool VIC 3342,0.03
457,Eureka Village Hostel,St John of God Ballarat Hospital,101 Drummond Street Ballarat VIC 3350,2.3
458,Bill Crawford Lodge,St John of God Ballarat Hospital,101 Drummond Street Ballarat VIC 3350,0.57
459,Talbot Place Aged Care Facility,St John of God Ballarat Hospital,101 Drummond Street Ballarat VIC 3350,0.57
460,Queen Elizabeth Centre (Steele Haughton Unit),St John of God Ballarat Hospital,101 Drummond Street Ballarat VIC 3350,0.5
461,Kirralee,St John of God Ballarat Hospital,101 Drummond Street Ballarat VIC 3350,0.79
462,Mt Clear,St John of God Ballarat Hospital,101 Drummond Street Ballarat VIC 3350,3.32
463,Royal Freemasons Ballarat,St John of God Ballarat Hospital,101 Drummond Street Ballarat VIC 3350,2.6
464,Mercy Place Ballarat,St John of God Ballarat Hospital,101 Drummond Street Ballarat VIC 3350,1.37
465,Geoffrey Cutter Centre,St John of God Ballarat Hospital,101 Drummond Street Ballarat VIC 3350,2.35
466,Hailey House Hostel,Ballarat Surgicentre,5-9 Wood Street Ballarat VIC 3350,0.82
467,Nazareth House Ballarat,St John of God Ballarat Hospital,101 Drummond Street Ballarat VIC 3350,0.26
468,Kelaston,Ballarat Day Procedure Centre,1117-1123 Howitt Street Ballarat VIC 3355,0.48
469,Queen Elizabeth Village Hostel (W.B. Messer),Ballarat Day Procedure Centre,1117-1123 Howitt Street Ballarat VIC 3355,0.64
470,P.S. Hobson Nursing Home,,,
471,Jack Lonsdale Lodge,St John of God Ballarat Hospital,101 Drummond Street Ballarat VIC 3350,2.24
472,James Thomas Court,St John of God Ballarat Hospital,101 Drummond Street Ballarat VIC 3350,3.45
473,Bupa Ballarat,St John of God Ballarat Hospital,101 Drummond Street Ballarat VIC 3350,3.16
474,Skipton Nursing Home,Ballarat Day Procedure Centre,1117-1123 Howitt Street Ballarat VIC 3355,27.66
475,John Curtin Aged Care,Ballarat Surgicentre,5-9 Wood Street Ballarat VIC 3350,8.84
476,Creswick Nursing Home,Ballarat Surgicentre,5-9 Wood Street Ballarat VIC 3350,8.37
477,Beaufort Hostel,Ballarat Day Procedure Centre,1117-1123 Howitt Street Ballarat VIC 3355,25.88
478,Beaufort Nursing Home,Ballarat Day Procedure Centre,1117-1123 Howitt Street Ballarat VIC 3355,25.79
479,70 Lowe Street,Ballarat Day Procedure Centre,1117-1123 Howitt Street Ballarat VIC 3355,52.67
480,Garden View Court Hostel,Ballarat Day Procedure Centre,1117-1123 Howitt Street Ballarat VIC 3355,52.67
481,Gorrinn House Hostel,Ballarat Day Procedure Centre,1117-1123 Howitt Street Ballarat VIC 3355,52.11
482,Parkland House Hostel,Ballarat Day Procedure Centre,1117-1123 Howitt Street Ballarat VIC 3355,58.31
483,Macpherson Smith Residential Care,Ballarat Day Procedure Centre,1117-1123 Howitt Street Ballarat VIC 3355,66.87
484,Eventide Homes Stawell Inc,Ballarat Day Procedure Centre,1117-1123 Howitt Street Ballarat VIC 3355,66.42
485,Rupanyup District Nursing Home,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,90.9
486,Dunmunkle Lodge Inc,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,95.15
487,Yarriambiack Lodge Hostel,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,110.34
488,Hopetoun Nursing Home,Mildura Base Hospital,216-240 Ontario Avenue Mildura VIC 3500,107.36
489,Wimmera Nursing Home,Ballarat Day Procedure Centre,1117-1123 Howitt Street Ballarat VIC 3355,106.75
490,Sunnyside Lutheran Retirement Village,Ballarat Day Procedure Centre,1117-1123 Howitt Street Ballarat VIC 3355,106.02
491,Kurrajong Lodge,Ballarat Day Procedure Centre,1117-1123 Howitt Street Ballarat VIC 3355,106.21
492,Natimuk BNH-Nursing Home Annexe,St John of God Warrnambool Hospital,136 Botanic Road Warrnambool VIC 3280,116.02
493,Allambi Elderly Peoples Home,Ballarat Day Procedure Centre,1117-1123 Howitt Street Ballarat VIC 3355,125.23
494,Dimboola District Hospital Nursing Home Unit,Ballarat Day Procedure Centre,1117-1123 Howitt Street Ballarat VIC 3355,125.23
495,Iona Digby Harris Home,Ballarat Day Procedure Centre,1117-1123 Howitt Street Ballarat VIC 3355,146.09
496,Avonlea Hostel,Ballarat Day Procedure Centre,1117-1123 Howitt Street Ballarat VIC 3355,146.35
497,Kaniva Hostel,St John of God Warrnambool Hospital,136 Botanic Road Warrnambool VIC 3280,153.62
498,Archie Gray Nursing Home Unit,St John of God Warrnambool Hospital,136 Botanic Road Warrnambool VIC 3280,153.06
499,Jeparit & District Nursing Home,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,133.59
500,Rainbow Bush Nursing Hospital Hostel,Mildura Base Hospital,216-240 Ontario Avenue Mildura VIC 3500,118.73
501,Rainbow Bush Nursing Home Annexe,Mildura Base Hospital,216-240 Ontario Avenue Mildura VIC 3500,118.74
502,Goonawarra Aged Care Facility,Goonawarra Day Hospital,11 Dornoch Drive Hume VIC 3429,1.7
503,Riddell Gardens Aged Care,Goonawarra Day Hospital,11 Dornoch Drive Hume VIC 3429,2.23
504,Gisborne Oaks,Goonawarra Day Hospital,11 Dornoch Drive Hume VIC 3429,10.85
505,Warrina Aged Care,Goonawarra Day Hospital,11 Dornoch Drive Hume VIC 3429,11.36
506,Bupa Woodend,Goonawarra Day Hospital,11 Dornoch Drive Hume VIC 3429,18.47
507,Bupa Kyneton,Ballan District Health & Care,33 Cowie Street Moorabool VIC 3342,27.85
508,R. M. Begg Kyneton Aged Care,Ballan District Health & Care,33 Cowie Street Moorabool VIC 3342,27.28
509,Castlemaine Health - Residential Aged Care,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,20.48
510,Trentham Nursing Home,Ballan District Health & Care,33 Cowie Street Moorabool VIC 3342,15.69
511,Daylesford Nursing Home,Ballan District Health & Care,33 Cowie Street Moorabool VIC 3342,18.56
512,Hepburn House,Ballan District Health & Care,33 Cowie Street Moorabool VIC 3342,19.26
513,Maldon Hospital - Mountview Nursing Home,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,19.24
514,Havilah Hostel,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,34.49
515,Havilah on Palmerston,Ballarat Day Procedure Centre,1117-1123 Howitt Street Ballarat VIC 3355,34.44
516,Wattle Rise,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,34.73
517,Avoca Nursing Home,Ballarat Day Procedure Centre,1117-1123 Howitt Street Ballarat VIC 3355,37.06
518,Dunolly Nursing Home,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,29.92
519,Kara Court Nursing Home,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,57.03
520,Coates Hostel,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,57.25
521,Johnson-Goodwin Memorial Homes,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,76.24
522,Riverview Aged Care,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,76.74
523,Birchip Nursing Home,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,92.33
524,Mallee Track Health & Community Service - Ouyen,Mildura Base Hospital,216-240 Ontario Avenue Mildura VIC 3500,61.99
525,Jacaranda Village,Mildura Base Hospital,216-240 Ontario Avenue Mildura VIC 3500,9.26
526,Oasis Aged Care,Mildura Base Hospital,216-240 Ontario Avenue Mildura VIC 3500,3.83
527,Regis Sunraysia,,,
528,Regis Ontario,,,
529,Bupa Mildura,Mildura Health Private Hospital,220-228 Thirteenth Street Mildura VIC 3500,0.75
530,Princes Court Homes Hostel,Mildura Health Private Hospital,220-228 Thirteenth Street Mildura VIC 3500,0.63
531,Chaffey Aged Care,Mildura Base Hospital,216-240 Ontario Avenue Mildura VIC 3500,4.98
532,Inglewood & Districts Health Service (Nursing Home),Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,25.24
533,Heathcote Health Low Care Service,Nagambie HealthCare,22 Church Street Strathbogie VIC 3608,26.34
534,Charlton Aged Care,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,60.94
535,Grandview Lodge,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,74.05
536,Mallee Track Health & Community Service - Sea Lake,Mildura Health Private Hospital,220-228 Thirteenth Street Mildura VIC 3500,99.31
537,Boort District Health Nursing Home,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,53.65
538,Boort District Health Hostel,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,53.65
539,Robinvale Multi-Purpose Service,Mildura Health Private Hospital,220-228 Thirteenth Street Mildura VIC 3500,45.6
